p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.272269800757479,0.862,0.347,0,1,NAA15
0,0.265960944906661,0.768,0.24,0,1,BOP1
0,0.264155603835938,0.759,0.24,0,1,CHAC2
0,0.261657008266938,0.765,0.26,0,1,TIMM8A
0,0.261640460044188,1,1,0,1,PTMA
0,0.261256316639438,0.772,0.249,0,1,PNPT1
0,0.258333439286077,0.787,0.27,0,1,WDR12
0,0.25089759791956,0.745,0.236,0,1,EXOSC4
0,0.250702451437319,0.757,0.237,0,1,GRWD1
0,-1.15132609122533,0.406,0.777,0,1,RARRES3
0,-1.28787507658135,1,1,0,1,MALAT1
1.49976739015162e-307,0.389366864698471,0.977,0.569,3.26799314314038e-303,1,POLR3K
3.95599872718196e-307,0.395521645513317,0.984,0.609,8.6201212265295e-303,1,MRPL36
3.63442050452313e-306,0.419956778582424,0.995,0.66,7.91940227935589e-302,1,PAICS
6.63706176855659e-305,0.327659973073316,0.911,0.42,1.44621575936848e-300,1,GOT2
8.09516970065459e-305,0.386729614090452,0.973,0.547,1.76393747777263e-300,1,RPL7L1
4.41681641092299e-304,0.298357352528508,0.867,0.369,9.6242429594012e-300,1,ISOC2
1.67741127998945e-301,0.295532825872638,0.903,0.393,3.65507917909701e-297,1,KNOP1
1.72023431711978e-301,0.3511576157789,0.922,0.448,3.74839057700399e-297,1,MAT2A
1.76627220420738e-301,0.383606164312347,1,0.904,3.84870713296789e-297,1,TXN
2.37952834472635e-301,0.264237324970664,0.839,0.336,5.18499226315872e-297,1,NIP7
1.3212864656734e-300,0.278204091330525,0.852,0.354,2.87908320870234e-296,1,C20orf27
1.36807952095186e-300,-1.13873461294774,0.94,0.962,2.9810452761541e-296,1,LTB
2.72374256777669e-299,0.261029613871685,0.825,0.325,5.93503505518542e-295,1,COPRS
3.4666465439634e-299,0.312201371871567,0.895,0.405,7.55382281929625e-295,1,DNAJC2
3.79600802250397e-299,0.341362718776398,0.944,0.466,8.27150148103614e-295,1,PSMG1
7.177784224798e-299,0.374218966246612,0.979,0.55,1.56403918258348e-294,1,AHSA1
5.95909168287453e-297,0.282279202465853,0.854,0.356,1.29848607769836e-292,1,TRAP1
6.39243641096877e-297,0.263102147437302,0.822,0.328,1.3929118939501e-292,1,DFFA
7.26014096921604e-297,0.369291585492967,1,0.865,1.58198471719217e-292,1,CCT8
7.57231304923687e-297,0.392607110093262,1,0.81,1.65000701342871e-292,1,PPP1R14B
4.66781205233137e-296,0.372019205007252,1,0.863,1.017116246203e-291,1,SNRPE
8.390451216509e-295,0.382379018106869,0.999,0.807,1.82827932007731e-290,1,PDCD5
2.28063974869037e-294,0.294729046936677,0.884,0.391,4.96951401239631e-290,1,EMG1
3.13478287159647e-294,0.401841020178432,0.989,0.625,6.83069187720871e-290,1,NIFK
3.63077610947646e-294,0.41232479907658,0.998,0.772,7.91146114254921e-290,1,SRSF2
7.92407088806753e-293,0.395952635258474,0.999,0.823,1.72665504650992e-288,1,CCDC85B
6.88733324486057e-291,0.341773477191384,1,0.946,1.50074991405512e-286,1,ATP5MC3
1.42045994023214e-290,0.410826055964263,0.992,0.663,3.09518220976582e-286,1,SNRPA1
3.21985760197251e-289,0.387866612405108,0.999,0.794,7.01606971469811e-285,1,PPM1G
3.4492629468792e-289,0.386273073969059,0.989,0.674,7.51594396124977e-285,1,TOMM22
1.13974658991323e-288,0.391114304700733,1,0.937,2.48350781942092e-284,1,H2AFZ
5.3865063018229e-286,0.353514093667465,0.965,0.529,1.17371972316721e-281,1,GRPEL1
5.9102646932446e-283,0.297993314236405,0.906,0.414,1.287846676658e-278,1,TWISTNB
2.24170542054284e-282,0.385766273293415,0.999,0.787,4.88467611136284e-278,1,PSMA3
