LINC00115
HES4
ISG15
TTLL10
TNFRSF18
TNFRSF4
AL162741.1
SCNN1D
ATAD3C
TMEM240
FNDC10
MIB2
MMP23B
GABRD
AL590822.2
PLCH2
AL139246.5
TNFRSF14
MMEL1
TTC34
MEGF6
AL513320.1
TPRG1L
SMIM1
ESPN
TNFRSF25
PER3
TNFRSF9
AL034417.3
AL096855.1
ENO1
CA6
SPSB1
AL139424.3
AL109811.3
SRM
AL109811.1
DISP3
FBXO2
AGTRAP
TNFRSF1B
AC254633.1
EFHD2
AL121992.3
FBLIM1
AL450998.2
PADI4
CAMK2N1
HP1BP3
AL031728.1
TCEA3
ID3
MDS2
CNR2
RCAN3
AL445686.2
RUNX3
RSRP1
LDLRAP1
AL606491.1
MAN1C1
AL020996.1
STMN1
CNKSR1
SH3BGRL3
UBXN11
CD52
ZNF683
HMGN2
SFN
SYTL1
BX293535.1
FGR
IFI6
AL353622.1
SNHG12
LINC01715
EPB41
MATN1-AS1
LAPTM5
FAM229A
ZBTB8A
TMEM54
AZIN2
AL662907.3
DLGAP3
AC114490.3
AC114490.2
TMEM35B
AC004865.2
CLSPN
CDCA8
AL139260.1
AL033527.5
ZFP69
AL603839.3
CITED4
CCDC30
YBX1
CDC20
ARMH1
RPS8
PRDX1
NASP
CCDC17
FAAH
LINC01389
FOXD2
BEND5
TUT4
SHISAL2A
AL606760.3
AC119428.2
SSBP3-AS1
TTC22
DAB1
JUN
AC105277.1
CYP2J2
NFIA
AC099791.2
PATJ
JAK1
AK4
PDE4B
SERBP1
GADD45A
PTGER3
AK5
IFI44L
IFI44
LINC01725
PRKACB
WDR63
MCOLN3
ODF2L
AL049597.2
GBP1
GBP2
GBP4
AC099063.4
GBP5
GBP6
AC099568.2
TGFBR3
EPHX4
SLC44A3
AC105942.1
DPYD
CDC14A
VCAM1
AC093157.1
AL109741.1
S1PR1
RNPC3
AMY2B
AL359258.2
FAM102B
AL449266.1
AL356488.2
CYB561D1
AMIGO1
CSF1
KCNA2
AL360270.1
AL355816.1
CHI3L2
C1orf162
KCND3
DENND2C
TSPAN2
CD2
AL358072.1
PHGDH
REG4
LINC00623
AC239800.2
AC239800.3
AC246785.3
NBPF15
AC245014.1
NBPF20
PDZK1
CD160
TXNIP
FMO5
AC239803.2
PPIAL4G
AC245297.3
HIST2H4A
AC239868.3
HIST2H2AC
PLEKHO1
ANP32E
C1orf54
CTSS
CTSK
C1orf56
CDC42SE1
SEMA6C
TNFAIP8L2
RORC
C2CD4D
S100A10
AL450992.1
S100A11
S100A6
S100A4
S100A13
S100A1
RPS27
TPM3
ATP8B2
IL6R
AL451085.1
PBXIP1
CKS1B
LMNA
SH2D2A
ARHGEF11
FCRL3
PYHIN1
FCRL6
SLAMF8
VSIG8
AL590560.2
AL139011.1
CD84
CD48
LY9
ADAMTS4
FCER1G
NR1I3
AL592295.4
FCGR3A
FCGR2B
NUF2
GPA33
XCL2
XCL1
ATP1B1
AL021068.1
SELL
RABGAP1L
AL353708.3
GLUL
RGS16
COLGALT2
C1orf21
SWT1
PRG4
PTGS2
RGS1
B3GALT2
CFH
ASPM
PTPRC
LINC00862
KIF14
PHLDA3
NAV1
BTG2
AL512306.3
NUAK2
NUCKS1
RAB29
PM20D1
C1orf147
AC244034.2
IL10
IL24
FCMR
CD55
CR1
CD34
G0S2
HHAT
AC092803.2
ATF3
BATF3
VASH2
CENPF
ZC3H11B
TLR5
SUSD4
AL591895.1
TMEM63A
ITPKB-AS1
GJC2
OBSCN-AS1
OBSCN
HIST3H2A
SIPA1L2
PCNX2
AL355472.4
AL355472.1
GNG4
ERO1B
AL359921.1
WDR64
ZBTB18
CATSPERE
SH3YL1
TRAPPC12-AS1
RSAD2
AC017076.1
RNF144A
LINC01871
LINC00299
ID2
AC073195.1
GRHL1
AC104794.2
RRM2
ODC1
PQLC3
MIR3681HG
TRIB2
FAM49A
LINC01376
LINC00954
PFN4
CENPA
AGBL5-AS1
AC013403.2
ABHD1
KRTCAP3
YPEL5
LBH
HEATR5B
AC006369.1
CDC42EP3
CYP1B1
SOS1
ZFP36L2
SLC3A1
EPAS1
CALM2
AC079807.1
ACYP2
AC008280.3
SPTBN1
AC012358.3
REL
AC016727.1
AC009501.1
UGP2
AC012368.1
LINC00309
AC017083.2
PLEK
ARHGAP25
MXD1
ASPRV1
SNRPG
AC007881.3
RAB11FIP5
AC073046.1
SLC4A5
WBP1
TMSB10
CAPG
TMEM150A
GNLY
REEP1
CD8A
CD8B
PLGLB1
LINC01943
CYTOR
AC133644.2
RGPD2
KRCC1
AC103563.7
MAL
AC009237.14
DUSP2
AC021188.1
AC013270.1
ARID5A
FAM178B
MGAT4A
C2orf15
LIPT1
AFF3
MAP4K4
IL1R1
AC010978.1
C2orf40
GCC2
ZC3H6
AC079922.2
IL1A
AC016745.2
PTPN4
BIN1
ARHGEF4
C2orf27B
CXCR4
KYNU
ARHGAP15
ZEB2
ACVR2A
RBM43
NEB
CACNB4
FMNL2
RPRM
GALNT13
NR4A2
CYTIP
ACVR1
AC013731.1
AC091488.1
BAZ2B
CD302
SLC4A10
DPP4
AC009495.3
SCN9A
AC016723.1
SPC25
CCDC173
ITGA6
AC078883.3
AC016737.1
CIR1
GPR155
CHN1
ATP5MC3
TTN
ITGA4
CERKL
FAM171B
CALCRL
TFPI
SLC40A1
AC013468.1
AC093388.1
AC005540.1
STAT1
NABP1
AC104823.1
LINC01825
SLC39A10
STK17B
AC013264.1
HSPD1
HSPE1
PLCL1
SGO2
CLK1
CFLAR
CFLAR-AS1
ALS2CR12
AC064836.3
CARF
CD28
PARD3B
NRP2
AC007383.2
EEF1B2
KLF7
FZD5
AC079610.1
FN1
TMEM169
IGFBP2
DIRC3
ARPC2
SLC11A1
AC021016.3
WNT10A
TUBA4A
SPEG
EPHA4
CCL20
AC009950.1
SP140
NCL
PTMA
DGKD
LINC01891
ARL4C
AGAP1
IQCA1
ACKR3
RAMP1
SNED1
PASK
AC114730.2
LINC01238.1
CRBN
BHLHE40-AS1
AC069277.1
THUMPD3-AS1
AC022382.1
AC018809.2
HRH1
IQSEC1
XPC
CCDC174
SH3BP5
EAF1-AS1
COLQ
OXNAD1
AC090948.2
AC090948.3
PLCL2
SATB1
EFHB
KAT2B
NR1D2
RARB
NEK10
LINC02084
EOMES
ZCWPW2
TGFBR2
TRANK1
AC126118.1
GOLGA4
DLEC1
TTC21A
CX3CR1
VIPR1
AC104187.1
ZKSCAN7
TMEM42
CCR9
CXCR6
CCR3
CCR5
ALS2CL
TMIE
ARIH2OS
AC137630.3
AMT
MST1
AC105935.1
RBM5-AS1
CACNA2D2
CYB561D2.1
LINC02019
MANF
PARP3
PCBP4
CACNA1D
CHDH
IL17RB
CCDC66
ARHGEF3
FHIT
C3orf49
ATXN7.1
SCAANT1
FAM19A1
LMOD3
FOXP1
AC097634.3
GPR27
PROK2
LINC02018
CLDND1
COL8A1
FILIP1L
IMPG2
SENP7
TRAT1
CD96
ZBED2
CCDC80
AC078785.1
CCDC191
ZNF80
TIGIT
ZBTB20
ZBTB20-AS2
ZBTB20-AS4
IGSF11
AC073352.1
GOLGB1
ILDR1
FAM162A
WDR5B
PARP15
LINC02035
KALRN
ABTB1
AC108673.3
H1FX
PLXND1
LINC02021
NEK11
RAB6B
PPP2R3A
AC117382.2
RBP1
ZBTB38
XRN1
TRPC1
SLC9A9
GYG1
CP
WWTR1
PFN2
GPR171
AC108718.1
ARHGEF26
KCNAB1
AC084036.1
TIPARP-AS1
TIPARP
SMC4
AC069224.1
AC078795.1
AC078795.2
AC008040.5
RPL22L1
TNFSF10
ZMAT3
AC007620.2
TTC14
KLHL24
DGKG
AC112907.3
EIF4A2
ST6GAL1
RTP4
TPRG1
TP63
CCDC50
TNK2-AS1
TFRC
SLC51A
LINC01063
LINC02012
AC055764.2
IQCG
AC092574.1
AC107464.3
MYL5
AC139887.4
CPLX1
SLC26A1
IDUA
RNF212
AC147067.1
FAM53A
SLBP
AC016773.1
MXD4
ZFYVE28
LYAR
NSG1
EVC2
LINC02482
LINC002481
S100P
CCDC96
TADA2B
LINC02447
SH3TC1
AC104825.1
HS3ST1
FAM200B
CD38
FGFBP2
TAPT1-AS1
FAM184B
RBPJ
ARAP2
DTHD1
AC027607.1
KLF3
TLR1
TMEM156
UGDH-AS1
SMIM14
CHRNA9
TXK
USP46
USP46-AS1
LNX1
NMU
AC068620.2
HOPX
SPINK2
AC069307.1
SULT1B1
ENAM
JCHAIN
CXCL8
CXCL3
AREG
LINC02562
ODAPH
CXCL9
CXCL10
SCARB2
STBD1
CCNG2
LINC01088
ANTXR2
PRKG2
RASGEF1B
AC124016.2
PLAC8
ABRAXAS1
PTPN13
AC093827.5
HSD17B13
HSD17B11
SPP1
ABCG2
HERC6
HERC5
FAM13A
SNCA
MMRN1
HPGDS
AP002026.1
H2AFZ
DDIT4L
AF213884.3
CENPE
LEF1
RPL34-AS1
RPL34
AC004067.1
AC109347.1
SYNPO2
C4orf3
AC108866.1
ANXA5
CCNA2
IL2
IL21
BBS12
MGARP
IL15
INPP4B
AC139720.1
GYPB
GYPA
NR3C2
RPS3A
AC095055.1
LINC02273
CTSO
FAM218A
TRIM60
DDX60
DDX60L
PALLD
HMGB2
SCRG1
HPGD
CFAP97
ANKRD37
TLR3
FRG1-DT
CMBL
AC010491.1
AC016575.1
RETREG1
LINC02100
PURPL
IL7R
AC026741.1
FYB1
PTGER4
RPL37
SELENOP
AC008875.1
AC025171.3
AC025171.5
ANXA2R
AC025171.4
AC093297.2
PARP8
ESM1
GZMK
GZMA
IL6ST
AC016596.1
ANKRD55
MAP3K1
PLK2
AC104113.1
AC010359.1
CCNB1
OCLN
SERF1A
MAP1B
FCHO2
GCNT4
LINC01336
JMY
CMYA5
THBS4
AC012636.1
SERINC5
AC008771.1
RASGRF2-AS1
RASGRF2
SSBP2
AC026726.1
MEF2C
ADGRV1
ARRDC3
KIAA0825
MCTP1
GPR150
SPATA9
RHOBTB3
CAST
AC008906.1
LINC02062
SLCO4C1
NUDT12
EFNA5
CAMK4
EPB41L4A
EPB41L4A-AS1
CCDC112
AC010226.1
AC034236.2
SEMA6A-AS1
AC008629.1
TNFAIP8
SNX24
ALDH7A1
AC011416.3
ACSL6
IL3
CSF2
AC116366.2
IRF1
IL5
IL13
IL4
CCNI2
VDAC1
TCF7
AC104109.2
CATSPER3
PITX1
C5orf66
SMAD5-AS1
PKD2L2
EGR1
AC011405.1
MZB1
SMIM33
TMEM173
NRG2
MALINC1
AC008438.1
EIF4EBP3
NR3C1
PPP2R2B
JAKMIP2
ADRB2
PDE6A
CD74
RPS14
ZNF300
CCDC69
AC011374.2
TIMD4
HAVCR1
ITK
AC008676.1
PTTG1
HMMR
NPM1
CREBRF
MXD3
AC139795.3
AC106795.2
HNRNPAB
PHYKPL
CLK4
ZNF354A
ZNF879
LTC4S
MRNIP
AC008393.1
AC008610.1
GFPT2
LINC00847
TRIM52
SERPINB9P1
TUBB2A
SLC22A23
PXDC1
AL359643.3
NRN1
LY86
ADTRP
AL008729.1
ATXN1
AL137003.1
AL137003.2
FAM8A1
NHLRC1
DEK
RNF144B
SOX4
GPLD1
RIPOR2
HIST1H1C
HIST1H4C
HIST1H2AC
HIST1H1E
HIST1H2BG
HIST1H1D
BTN3A2
BTN3A1
BTN3A3
AL513548.1
HIST1H2AH
HIST1H2BN
HIST1H1B
ZSCAN16-AS1
NKAPL
ZSCAN26
ZSCAN23
ZNF311
GABBR1
HLA-F
HLA-E
TUBB
IER3
LINC00243
AL662844.4
ATP6V1G2
LTA
TNF
LTB
LST1
NCR3
AIF1
ABHD16A
MPIG6B
CLIC1
HSPA1L
HSPA1A
C6orf48
HLA-DRA
HLA-DRB5
HLA-DRB1
HLA-DQA1
HLA-DQB1
HLA-DQA2
HLA-DQB2
HLA-DMA
HLA-DPA1
HLA-DPB1
RPS18
B3GALT4
PHF1
SYNGAP1-AS1
RPS10
PACSIN1
ETV7
STK38
CDKN1A
PI16
PIM1
LRFN2
UNC5CL
TBCC
GNMT
PTK7
HSP90AB1
AL035701.1
RCAN2
RHAG
IL17F
KLHL31
AL021368.1
AL713998.1
AL365226.2
AL583856.2
B3GAT2
OOEP
DDX43
EEF1A1
MYO6
HMGN3-AS1
ELOVL4
TENT5A
ME1
NT5E
ZNF292
PNRC1
AL132996.1
MANEA-DT
KLHL32
PRDM1
CD24
SCML4
OSTM1
FOXO3
SESN1
AK9
REV3L
Z97989.1
KPNA5
TPD52L1
AL590006.1
AL355581.1
SAMD3
RPS12
ALDH8A1
AHI1
AL024508.2
AL356234.2
AL357060.1
TNFAIP3
ECT2L
HECA
AL031772.1
TXLNB
CITED2
HIVEP2
UTRN
RAB32
STXBP5-AS1
AL033504.1
AL358852.1
ULBP2
PLEKHG1
ESR1
SYNE1
IPCEF1
TULP4
SYTL3
AL627422.2
TAGAP
AIRN
CAHM
AL022069.1
RPS6KA2
AL159163.1
RNASET2
CCR6
DLL1
GPR146
MAD1L1
ACTB
AC006483.2
FSCN1
OCM
CYTH3
ZNF853
AC004982.2
GLCCI1
VWDE
SCIN
ETV1
SOSTDC1
HDAC9
TWIST1
TOMM7
CYCS
AC004520.1
HNRNPA2B1
HOTAIRM1
JAZF1
CHN2
LINC01176
AC006027.1
KIAA0895
AOAH
AC007349.2
GPR141
TRGC2
TRGC1
TRGV10
TRGV9
TRGV8
TRGV7
TRG-AS1
TRGV5
TRGV4
TRGV3
TRGV2
AMPH
STK17A
SPDYE1
LINC00957
H2AFV
SNHG15
IGFBP3
C7orf57
UPP1
SEC61G
NUPR2
KCTD7
LINC01372
AUTS2
AC211476.2
VPS37D
NCF1
CASTOR2
TRIM73
SPDYE5
SPDYE16
CCDC146
FGL2
GSAP
AC074183.1
ABCB1
RUNDC3B
AKAP9
SAMD9
SAMD9L
SGCE
PEG10
TECPR1
GAL3ST4
STAG3
PVRIG
SPDYE3
PILRA
MOSPD3
SLC12A9-AS1
SERPINE1
UPK3BL1
NFE4
KMT2E-AS1
ATXN7L1
CDHR3
NAMPT
PRKAR2B
HBP1
AC004492.1
CBLL1
NRCAM
DNAJB9
LRRN3
ZNF277
LSMEM1
GPR85
LINC01393
CAV2
ST7-AS1
LINC02476
CPED1
IQUB
POT1-AS1
HILPDA
AC018638.7
AC073320.1
CPA5
AC008264.2
PLXNA4
TMEM140
AC083862.2
SLC13A4
AC015987.1
KDM7A
RAB19
MKRN1
TMEM178B
WEE2-AS1
TAS2R4
TRBV2
TRBV3-1
TRBV4-1
TRBV5-1
TRBV6-1
TRBV4-2
TRBV6-2
TRBV7-2
TRBV7-3
TRBV9
TRBV11-2
TRBV6-5
TRBV5-4
TRBV7-9
TRBV10-3
TRBV14
TRBV15
TRBV18
TRBV19
TRBV20-1
TRBV21-1
TRBV27
TRBV28
TRBV29-1
TRBC1
TRBC2
TRBV30
EPHB6
GSTK1
AC004889.1
AC074386.1
ZNF425
RARRES2
AC073111.5
GIMAP8
GIMAP7
GIMAP4
GIMAP6
GIMAP2
GIMAP1
GIMAP5
KCNH2
ABCF2
WDR86
PRKAG2-AS1
LINC01003
LINC01287
PAXIP1-AS2
AC093726.2
AC005534.1
VIPR2
LINC00685
IL3RA
P2RY8
AL683807.1
CD99
ARHGAP6
MSL3
TMSB4X
EGFL6
TCEANC
OFD1
GPM6B
CLTRN
CA5B
SCML1
CDKL5
KLHL34
SAT1
CXorf58
MAGEB2
SRPX
MED14OS
PPP1R2C
MAOA
EFHC2
TIMP1
CFP
SSX1
AC115618.1
GATA1
PCSK1N
PIM2
WDR45
PLP2
FOXP3
GAGE1
GAGE2A
PAGE1
CCNB3
ALAS2
PAGE5
AL445472.1
KLF8
UBQLN2
SPIN2B
AL022157.1
SPIN2A
FAAH2
ZXDA
AMER1
EDA2R
AR
STARD8
EDA
IL2RG
OGT
CXCR3
LINC00891
NHSL2
FTX
NEXMIF
PGK1
CYSLTR1
GPR174
ITM2A
SH3BGRL
HDX
NAP1L3
ZMAT1
TMSB15A
GPRASP1
BEX4
BEX2
BEX3
TCEAL4
TCEAL3
TSC22D3
MID2
VSIG1
RPL39
RHOXF1
TENM1
RAP2C-AS1
GPC3
SMIM10L2A
HTATSF1
CD40LG
AFF2
LINC00893
LINC00894
GABRE
CSAG1
MAGEA12
PNMA5
PNMA3
PNCK
SLC6A8
L1CAM
TKTL1
RPL10
CTAG2
GAB3
SPRY3
ARHGEF10
SOX7
AF131215.7
AF131216.4
SLC35G5
BLK
PSD3
CSGALNACT1
DOK2
PDLIM2
EGR3
PEBP4
TNFRSF10D
TNFRSF10A
CHMP7
LOXL2
SLC25A37
NEFL
BNIP3L
CLU
ESCO2
NUGGC
DUSP4
SARAF
AC026979.2
AC026979.3
