day,mouse_number,car,length,width,,Area1,Notes,,,,,,
11,811-1,CD40-CD28,5.26,3.77,,37.379927,,,,,,,
11,811-2,CD40-CD28,5.80,4.00,,46.4,,,,,,,
11,811-3,CD40-CD28,7.07,4.72,,78.754144,,,,,,,
11,811-4,CD40-CD28,5.57,3.11,,26.9367985,,,,,,,
16,110-1,NT,8.22,5.34,,117.199116,,,,,,,
16,110-2,NT,6,3.7,,41.07,,,,,,,
16,110-3,NT,6.86,4.17,,59.643927,,,,,,,
16,110-4,NT,4.54,3.7,,31.0763,,,,,,,
16,110-5,NT,8.4,4.42,,82.05288,,,,,,,
16,111-1,Unt,8.02,4.04,,65.449616,,,,,,,
16,111-2,Unt,6.59,5,,82.375,,,,,,,
16,111-3,Unt,6.63,4.45,,65.6452875,,,,,,,
16,111-4,Unt,8.02,4.28,,73.456784,,,,,,,
16,111-5,Unt,6.72,3.96,,52.690176,,,,,,,
16,112-1,CD40,7.58,3.88,,57.056176,,,,,,,
16,112-2,CD40,9.29,4.26,,84.295602,,,,,,,
16,112-3,CD40,7.18,3.74,,50.215484,,,,,,,
16,112-4,CD40,6.43,4.59,,67.7339415,,,,,,,
16,804-1,BAFFR,8.85,4.42,,86.44857,,,,,,,
16,804-2,BAFFR,5.58,2.75,,21.099375,,,,,,,
16,804-3,BAFFR,6.4,4.08,,53.26848,,,,,,,
16,804-4,BAFFR,7.71,4.05,,63.2316375,,,,,,,
16,804-5,BAFFR,5.33,3.71,,36.6813265,,,,,,,
16,805-1,41BB,6.06,3.53,,37.756527,,,,,,,
16,805-2,CD40-CD28,4.92,3.66,,32.953176,,,,,,,
16,805-3,CD28-41BB,6.56,3.06,,30.712608,,,,,,,
16,805-4,CD28-41BB,7.86,3.65,,52.357425,,,,,,,
16,806-1,41BB,7.3,4.12,,61.95656,,,,,,,
16,806-2,41BB,4.55,3.17,,22.8612475,,,,,,,
16,806-3,41BB,8.07,4.2,,71.1774,,,,,,,
16,806-4,41BB,7.68,3.51,,47.309184,,,,,,,
16,807-1,CD28,8.01,3.57,,51.0433245,,,,,,,
16,807-2,CD28,6.65,3.4,,38.437,,,,,,,
16,807-3,CD28,6.49,3.49,,39.5244245,,,,,,,
16,807-4,CD28,5.99,3.93,,46.2574755,,,,,,,
16,808-1,CD28-41BB,11.23,3.93,,86.7231135,,,,,,,
16,808-2,CD28-41BB,6.97,3.78,,49.795074,,,,,,,
16,808-3,CD28-41BB,5.35,3.64,,35.44268,,,,,,,
16,808-4,41BB,8.25,3.4,,47.685,,,,,,,
16,809-1,BAFFR-41BB,7.14,2.68,,25.641168,,,,,,,
16,809-2,BAFFR-41BB,4.77,3.14,,23.515146,,,,,,,
16,809-3,BAFFR-41BB,10.38,4.68,,113.673456,,,,,,,
16,809-4,BAFFR-41BB,3.96,3.27,,21.171942,,,,,,,
16,809-5,BAFFR-41BB,8.43,3.19,,42.8922615,,,,,,,
16,810-1,CD40-41BB,9.3,4.18,,81.24666,,,,,,,
16,810-2,CD40-41BB,8.11,3.79,,58.2464255,,,,,,,
16,810-3,CD40-41BB,5.76,4.02,,46.541952,,,,,,,
16,810-4,CD40-41BB,5.87,3.65,,39.1015375,,,,,,,
16,810-5,CD40-41BB,7.05,4.79,,80.8779525,,,,,,,
16,811-1,CD40-CD28,5.83,4.27,,53.1489035,,,,,,,
16,811-2,CD40-CD28,4.65,3.74,,32.52117,,,,,,,
16,811-3,CD40-CD28,6.91,4.44,,68.110488,,,,,,,
16,811-4,CD40-CD28,4.8,3.3,,26.136,,,,,,,
19,110-1,NT,10.67,5.41,,156.1453135,,,,,,,
19,110-2,NT,7.05,3.66,,47.21949,,,,,,,
19,110-3,NT,8.52,6.43,,176.129274,,,,,,,
19,110-4,NT,7.05,3.92,,54.16656,,,,,,,
19,110-5,NT,7.97,5,,99.625,,,,,,,
19,111-1,Unt,8.79,4.34,,82.782462,,,,,,,
19,111-2,Unt,5.96,4.65,,64.43505,,,,,,,
19,111-3,Unt,6.14,4.39,,59.165347,,,,,,,
19,111-4,Unt,9.72,5.82,,164.619864,,,,,,,
19,111-5,Unt,7.74,4.27,,70.561323,,,,,,,
19,112-1,CD40,9.24,4.34,,87.020472,,,,,,,
19,112-2,CD40,9.42,4.66,,102.280476,,,,,,,
19,112-3,CD40,7.04,4.02,,56.884608,,,,,,,
19,112-4,CD40,6.91,5.32,,97.784792,,,,,,,
19,804-1,BAFFR,9.88,4.29,,90.916254,,,,,,,
19,804-2,BAFFR,5.93,2.93,,25.4542285,,,,,,,
19,804-3,BAFFR,6.16,3.45,,36.6597,,,,,,,
19,804-4,BAFFR,7.17,3.72,,49.610664,,,,,,,
19,804-5,BAFFR,5.92,3.03,,27.175464,,,,,,,
19,805-1,41BB,6.91,4.15,,59.5037375,,,,,,,
19,805-2,CD40-CD28,4.94,2.65,,17.345575,,,,,,,
19,805-3,CD28-41BB,4.65,3.79,,33.3965325,,,,,,,
19,805-4,CD28-41BB,0,0,,0,,,,,,,
19,806-1,41BB,8.32,4.33,,77.995424,,,,,,,
19,806-2,41BB,6.05,3.58,,38.76961,,,,,,,
19,806-3,41BB,7.21,4.46,,71.709218,,,,,,,
19,806-4,41BB,7.21,4.01,,57.9687605,,,,,,,
19,807-1,CD28,8.6,4,,68.8,,,,,,,
19,807-2,CD28,6.09,3.5,,37.30125,,,,,,,
19,807-3,CD28,5.86,3.11,,28.339253,,,,,,,
19,807-4,CD28,4.66,3.25,,24.610625,,,,,,,
19,808-1,CD28-41BB,10.28,3.39,,59.069394,,,,,,,
19,808-2,CD28-41BB,5.48,3.34,,30.566344,,,,,,,
19,808-3,CD28-41BB,3.61,2.35,,9.9681125,,,,,,,
19,808-4,41BB,6.4,3.63,,42.16608,,,,,,,
19,809-1,BAFFR-41BB,6.29,2.73,,23.4393705,,,,,,,
19,809-2,BAFFR-41BB,3.77,3.25,,19.9103125,,,,,,,
19,809-3,BAFFR-41BB,6.75,4.65,,72.9759375,,,,,,,
19,809-4,BAFFR-41BB,3.77,3.01,,17.0782885,,,,,,,
19,809-5,BAFFR-41BB,7.66,3.38,,43.755452,,,,,,,
19,810-1,CD40-41BB,7.44,4,,59.52,,,,,,,
19,810-2,CD40-41BB,7.07,3.4,,40.8646,,,,,,,
19,810-3,CD40-41BB,5.58,3.29,,30.199239,,,,,,,
19,810-4,CD40-41BB,6.41,3.65,,42.6986125,,,,,,,
19,810-5,CD40-41BB,4.73,3.08,,22.435336,,,,,,,
19,811-1,CD40-CD28,4.43,3.18,,22.398966,,,,,,,
19,811-2,CD40-CD28,3.35,2.61,,11.4102675,,,,,,,
19,811-3,CD40-CD28,5.42,2.91,,22.948551,,,,,,,
19,811-4,CD40-CD28,4.02,2.77,,15.422529,,,,,,,
