day,cage,mouse,car,length,width,height,notes,Area,Area2
14,202,3,PBS,7.68,6.13,3.33,,156.771072,288.590592
14,202,4,PBS,11.50,10.40,4.53,,541.788,1243.84
14,202,5,PBS,13.00,9.90,6.05,,778.635,1274.13
14,203,1,41BB,12.50,11.30,7.40,,1045.25,1596.125
14,203,2,41BB,11.80,7.60,6.35,,569.468,681.568
14,203,3,41BB,11.50,6.30,3.70,,268.065,456.435
14,203,4,41BB,15.99,11.60,7.91,,1467.17844,2151.6144
14,203,5,41BB,10.50,9.40,6.45,,636.615,927.78
14,204,1,CD40,16.60,9.90,6.20,,1018.908,1626.966
14,204,2,CD40,12.07,7.70,4.30,,399.6377,715.6303
14,204,3,CD40,15.50,13.97,9.89,,2141.53115,3024.99395
14,204,4,CD40,15.90,13.03,7.97,,1651.20069,2699.51631
14,205,1,CD28,11.70,9.30,4.96,,539.6976,1011.933
14,205,2,Taci,18.12,12.60,7.70,,1758.0024,2876.7312
14,205,3,Taci,12.02,10.60,5.70,,726.2484,1350.5672
14,205,4,Taci,16.94,16.60,9.08,,2553.33232,4667.9864
14,205,5,Taci,7.50,6.80,2.90,,147.9,346.8
14,206,1,Baffr,12.70,13.22,7.30,,1225.6262,2219.55868
14,206,2,Baffr,13.20,13.60,7.99,,1434.3648,2441.472
14,206,3,Baffr,10.90,10.80,6.70,,788.724,1271.376
14,206,4,Baffr,14.80,10.10,6.20,,926.776,1509.748
14,206,5,KLRG1,16.50,13.40,9.20,,2034.12,2962.74
14,207,1,CD40,13.60,11.11,7.77,,1174.01592,1678.67656
14,207,2,CD40,16.55,14.00,8.70,,2015.79,3243.8
14,207,3,CD40,12.15,8.70,5.08,,536.9814,919.6335
14,207,4,CD40,18.00,12.60,9.40,,2131.92,2857.68
14,208,1,41BB,6.70,5.45,2.79,,101.87685,199.00675
14,208,2,41BB,11.30,6.10,4.98,,343.2714,420.473
14,208,3,41BB,6.30,6.04,1.88,,71.53776,229.83408
14,208,4,CD28,7.90,6.00,2.21,,104.754,284.4
14,208,5,CD28,11.70,6.90,4.69,,378.6237,557.037
14,209,1,Baffr,9.05,5.90,3.12,,166.5924,315.0305
14,209,2,Baffr,15.70,13.22,9.64,,2000.82056,2743.86388
14,209,3,Baffr,12.10,7.20,5.20,,453.024,627.264
14,209,4,Baffr,13.80,11.50,6.30,,999.81,1825.05
14,209,5,Baffr,12.45,7.77,4.93,,476.910945,751.642605
14,210,1,CD28,9.60,9.65,5.80,,537.312,893.976
14,210,2,CD28,8.03,6.70,4.11,,221.12211,360.4667
14,210,3,CD28,6.70,5.70,1.96,,74.8524,217.683
14,210,4,CD28,7.30,6.00,3.18,,139.284,262.8
14,210,5,CD28,10.80,6.50,4.30,,301.86,456.3
14,211,1,Zeta,15.50,11.12,8.22,,1416.7992,1916.6432
14,211,2,Zeta,11.90,7.80,7.99,,741.6318,723.996
14,211,3,Zeta,11.80,9.60,4.92,,557.3376,1087.488
14,211,4,CD40,16.28,10.00,7.76,,1263.328,1628
14,211,5,CD40,16.80,9.90,9.50,,1580.04,1646.568
14,212,1,KLRG1,7.30,4.90,4.63,,165.6151,175.273
14,212,2,KLRG1,10.70,7.70,4.40,,362.516,634.403
14,212,3,KLRG1,12.90,10.70,6.02,,830.9406,1476.921
14,212,4,KLRG1,5.80,6.10,3.13,,110.7394,215.818
14,212,5,KLRG1,10.60,9.30,5.40,,532.332,916.794
18,253,1,Taci,13.90,12.60,9.37,,1641.0618,2206.764
18,253,2,Taci,23.00,15.27,9.46,,3322.4466,5362.9767
18,253,3,Taci,18.02,12.92,8.84,,2058.114656,3008.013728
18,253,4,Taci,19.10,19.17,10.27,,3760.32969,7019.03799
18,253,5,Taci,21.28,19.10,13.40,,5446.4032,7763.1568
18,254,1,Zeta,18.20,15.50,7.15,,2017.015,4372.55
18,254,2,Zeta,14.80,14.70,11.80,,2567.208,3198.132
18,254,3,Zeta,13.30,13.50,7.03,,1262.2365,2423.925
18,254,4,Zeta,13.50,10.86,5.80,,850.338,1592.1846
18,254,5,Zeta,16.20,12.60,9.90,,2020.788,2571.912
18,201,1,Unt,21.03,18.80,11.90,,4704.8316,7432.8432
18,201,2,Unt,21.20,23.00,11.10,,5412.36,11214.8
18,201,3,Unt,24.70,21.50,12.40,,6585.02,11417.575
18,201,4,Unt,19.40,23.00,12.44,,5550.728,10262.6
18,202,1,PBS,14.10,9.60,8.50,,1150.56,1299.456
18,202,2,PBS,20.40,17.50,13.12,,4683.84,6247.5
18,202,3,PBS,9.00,9.00,5.86,,474.66,729
18,202,4,PBS,15.30,14.90,11.80,,2690.046,3396.753
18,202,5,PBS,19.40,20.40,10.30,,4076.328,8073.504
18,203,1,41BB,17.00,15.50,8.30,,2187.05,4084.25
18,203,2,41BB,15.92,11.90,10.85,,2055.5108,2254.4312
18,203,3,41BB,12.99,9.30,6.30,,761.0841,1123.5051
18,203,4,41BB,21.40,17.00,11.20,,4074.56,6184.6
18,203,5,41BB,14.10,13.80,8.90,,1731.762,2685.204
18,204,1,CD40,21.00,14.90,10.60,,3316.74,4662.21
18,204,2,CD40,14.40,9.40,8.06,,1091.0016,1272.384
18,204,3,CD40,21.30,16.90,14.17,,5100.7749,6083.493
18,204,4,CD40,21.00,19.00,14.90,,5945.1,7581
18,205,1,CD28,8.60,7.20,5.50,,340.56,445.824
18,205,2,Taci,25.00,17.30,13.70,,5925.25,7482.25
18,205,3,Taci,17.80,16.50,12.90,,3788.73,4846.05
18,205,4,Taci,21.80,22.00,12.96,,6215.616,10551.2
18,205,5,Taci,12.50,8.50,4.70,,499.375,903.125
18,206,1,Baffr,18.20,20.00,12.90,,4695.6,7280
18,206,2,Baffr,19.70,21.10,13.90,,5777.813,8770.637
18,206,3,Baffr,18.20,20.70,11.14,,4196.8836,7798.518
18,206,4,Baffr,21.90,16.22,13.80,,4902.0084,5761.63596
18,206,5,KLRG1,22.30,17.90,13.24,,5285.0108,7145.143
18,207,1,CD40,22.10,18.90,13.30,,5555.277,7894.341
18,207,2,CD40,22.10,19.22,12.30,,5224.5726,8163.92564
18,207,3,CD40,19.40,13.60,9.90,,2612.016,3588.224
18,207,4,CD40,26.13,15.70,13.10,,5374.1571,6440.7837
18,208,1,41BB,9.45,12.10,3.20,,365.904,1383.5745
18,208,2,41BB,16.00,9.50,7.60,,1155.2,1444
