day,cage,mouse,car,length,width,length 2,width 2 ,Area1,Area2
,,,,,,,,0,0
,,,,,,,,0,0
,,,,,,,,0,0
,,,,,,,,0,0
,,,,,,,,0,0
,,,,,,,,0,0
,,,,,,,,0,0
,,,,,,,,0,0
,,,,,,,,0,0
,,,,,,,,0,0
,,,,,,,,0,0
,,,,,,,,0,0
,,,,,,,,0,0
,,,,,,,,0,0
,,,,,,,,0,0
,,,,,,,,0,0
,,,,,,,,0,0
,,,,,,,,0,0
,,,,,,,,0,0
,,,,,,,,0,0
,,,,,,,,0,0
,,,,,,,,0,0
,,,,,,,,0,0
,,,,,,,,0,0
,,,,,,,,0,
,,,,,,,,0,
,,,,,,,,0,
,,,,,,,,0,
,,,,,,,,0,
,,,,,,,,0,
,,,,,,,,0,
,,,,,,,,0,
,,,,,,,,0,
,,,,,,,,0,
,,,,,,,,0,
,,,,,,,,0,
,,,,,,,,0,
,,,,,,,,0,
,,,,,,,,0,
,,,,,,,,0,
,,,,,,,,0,
,,,,,,,,0,
,,,,,,,,0,
,,,,,,,,0,
,,,,,,,,0,
,,,,,,,,0,
,,,,,,,,0,
,,,,,,,,0,
