ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
BAFF-R_TACI,CD28_Zeta,gse_bp,GO:0034341,response to interferon-gamma,3,0.916666666666667,1.81504449464034,0.0239234449760766,0.0239234449760766,0.348091603053435,4,"tags=100%, list=27%, signal=92%",HLA-DRA/HLA-DRB1/IFITM2
BAFF-R_TACI,CD28_Zeta,gse_bp,GO:0010033,response to organic substance,5,0.737234175272145,1.77478607147538,0.0294840294840295,0.0294840294840295,0.348091603053435,4,"tags=80%, list=27%, signal=88%",HLA-DRA/HLA-DRB1/IGFBP2/IFITM2
BAFF-R_TACI,CD28_Zeta,gse_bp,GO:0071310,cellular response to organic substance,5,0.737234175272145,1.77478607147538,0.0294840294840295,0.0294840294840295,0.348091603053435,4,"tags=80%, list=27%, signal=88%",HLA-DRA/HLA-DRB1/IGFBP2/IFITM2
