# CTV arrayed data: Fig 4B
Domain Name,Measurement Day,Measurement,Donor Name,T Cell Type,K562 Condition,MFI Measurement mean,MFI Measurement standard deviation,Mean MFI Measurement relative to Donor/day/k562 mean,SD of MFI Measurement relative to Donor/day/k562 mean
zeta,d33,ctv2_t,2,CD4,cd19+,1878.11587235198,435.74046433626,97.907263430625,180.380686700164
41BB,d14,ctv2_t,1,CD8,cd19-,1338.97804879272,517.448893465713,-163.136034160417,69.2984010191889
41BB,d24,ctv2_t,1,CD8,cd19-,1981.45323484216,575.522878827343,58.3425617293865,12.4091017993787
41BB,d33,ctv2_t,1,CD8,cd19-,2011.01428586151,558.815463702451,-31.7347978150218,18.6652651798909
41BB,d3,ctv2_t,1,CD8,cd19-,2390.05642082309,498.176885196837,48.2202581110937,74.9636196427927
41BB,d14,ctv2_t,2,CD8,cd19-,1385.4233924376,515.791426926693,-163.136034160417,69.2984010191889
41BB,d24,ctv2_t,2,CD8,cd19-,2083.65761647695,548.696342458127,58.3425617293865,12.4091017993787
41BB,d33,ctv2_t,2,CD8,cd19-,2041.2148865443,517.902659087958,-31.7347978150218,18.6652651798909
41BB,d3,ctv2_t,2,CD8,cd19-,2448.33084142971,500.264562395409,48.2202581110937,74.9636196427927
BAFF-R,d14,ctv2_t,1,CD8,cd19-,1577.18574048306,633.243203669068,-4.93323284907751,43.8456000109712
BAFF-R,d24,ctv2_t,1,CD8,cd19-,1660.10244761525,613.895986478246,-218.658404537821,75.1292200894096
BAFF-R,d33,ctv2_t,1,CD8,cd19-,1607.39025186998,531.318199968008,-315.83582445284,187.696323195123
BAFF-R,d3,ctv2_t,1,CD8,cd19-,2224.39059561281,579.840063708949,-168.153453068987,3.25183958502585
BAFF-R,d14,ctv2_t,2,CD8,cd19-,1463.62130336994,559.94162168936,-4.93323284907751,43.8456000109712
BAFF-R,d24,ctv2_t,2,CD8,cd19-,1851.00647116945,582.322936047286,-218.658404537821,75.1292200894096
BAFF-R,d33,ctv2_t,2,CD8,cd19-,1876.63686726019,565.715946596888,-315.83582445284,187.696323195123
BAFF-R,d3,ctv2_t,2,CD8,cd19-,2181.24924427983,578.707140850735,-168.153453068987,3.25183958502585
CD28,d14,ctv2_t,1,CD8,cd19-,1419.56849097444,523.471190978335,-190.508872635723,83.3847347242762
CD28,d24,ctv2_t,1,CD8,cd19-,2208.35506859915,587.942955937724,226.926624786259,70.0646804520894
CD28,d33,ctv2_t,1,CD8,cd19-,2445.00487079549,438.807548747881,389.057451537616,
CD28,d3,ctv2_t,1,CD8,cd19-,2410.68454355955,454.404812578045,1.2711314826322,20.6050429169528
CD28,d14,ctv2_t,2,CD8,cd19-,1250.08727330526,402.706427817081,-190.508872635723,83.3847347242762
CD28,d24,ctv2_t,2,CD8,cd19-,2193.92390883371,573.712597391121,226.926624786259,70.0646804520894
CD28,d3,ctv2_t,2,CD8,cd19-,2333.80446543633,457.905625056209,1.2711314826322,20.6050429169528
CD40,d14,ctv2_t,1,CD8,cd19-,1821.44194220686,715.375579116782,340.012954183227,98.5515428074658
CD40,d24,ctv2_t,1,CD8,cd19-,1936.95156871316,654.691109257975,36.5398335959577,44.5102477641794
CD40,d33,ctv2_t,1,CD8,cd19-,2168.29652299167,603.445629205535,112.349103733789,
CD40,d3,ctv2_t,1,CD8,cd19-,2534.76035265497,516.691113349601,162.161664099635,31.4588383822824
CD40,d14,ctv2_t,2,CD8,cd19-,1909.25747571075,665.63563362555,340.012954183227,98.5515428074658
CD40,d24,ctv2_t,2,CD8,cd19-,2084.5538263391,591.826405280379,36.5398335959577,44.5102477641794
CD40,d3,ctv2_t,2,CD8,cd19-,2531.50972157491,468.993790295222,162.161664099635,31.4588383822824
KLRG1,d14,ctv2_t,1,CD8,cd19-,2149.84388268823,645.478622677436,407.694915196278,216.371095898005
KLRG1,d24,ctv2_t,1,CD8,cd19-,2802.39693163572,407.309625732842,407.694915196278,434.146575563945
KLRG1,d3,ctv2_t,1,CD8,cd19-,2792.74013394259,374.581042286675,325.67361404845,102.13884990503
KLRG1,d14,ctv2_t,2,CD8,cd19-,1792.29154943652,681.926949633063,407.694915196278,216.371095898005
KLRG1,d24,ctv2_t,2,CD8,cd19-,2273.0762179886,575.354694291572,407.694915196278,434.146575563945
KLRG1,d3,ctv2_t,2,CD8,cd19-,2600.55384018492,410.554359799564,325.67361404845,102.13884990503
TACI,d14,ctv2_t,1,CD8,cd19-,1455.2159032248,643.658560188256,-130.606804783689,49.0834718217068
TACI,d24,ctv2_t,1,CD8,cd19-,1914.99654419785,569.529557533158,-31.1158607480538,20.1202593171104
TACI,d33,ctv2_t,1,CD8,cd19-,2318.67822726843,535.748072783902,262.730808010547,
TACI,d3,ctv2_t,1,CD8,cd19-,2494.52847956201,509.725327387585,115.267590768537,22.0370644502601
TACI,d14,ctv2_t,2,CD8,cd19-,1334.24399675897,561.476607292406,-130.606804783689,49.0834718217068
TACI,d24,ctv2_t,2,CD8,cd19-,1971.19746216638,629.188976501295,-31.1158607480538,20.1202593171104
TACI,d3,ctv2_t,2,CD8,cd19-,2477.95344800567,461.829736506812,115.267590768537,22.0370644502601
TNR8,d14,ctv2_t,1,CD8,cd19-,1773.68299429519,632.176221263171,250.110830608095,38.9520922227159
TNR8,d24,ctv2_t,1,CD8,cd19-,1889.45253489372,603.900855778327,-72.034754825728,41.8636298837682
TNR8,d33,ctv2_t,1,CD8,cd19-,1785.30035676019,581.582202785129,-238.345516971253,45.6812837691004
TNR8,d3,ctv2_t,1,CD8,cd19-,2066.23758382022,622.388024480603,-348.847296021168,28.6257095480298
TNR8,d14,ctv2_t,2,CD8,cd19-,1777.21217647215,531.175465079116,250.110830608095,38.9520922227159
TNR8,d24,ctv2_t,2,CD8,cd19-,1914.90368331517,664.718106998414,-72.034754825728,41.8636298837682
TNR8,d33,ctv2_t,2,CD8,cd19-,1853.70737733316,596.554263342384,-238.345516971253,45.6812837691004
TNR8,d3,ctv2_t,2,CD8,cd19-,1978.01457016806,530.121010559631,-348.847296021168,28.6257095480298
zeta,d14,ctv2_t,1,CD8,cd19-,1471.73504569723,631.280543065476,-100.938840362416,30.4882294924164
zeta,d3,ctv2_t,1,CD8,cd19-,2643.24614949325,419.618148397885,190.080104628257,82.4806095953789
zeta,d14,ctv2_t,2,CD8,cd19-,1377.06078312909,552.431359972937,-100.938840362416,30.4882294924164
zeta,d33,ctv2_t,2,CD8,cd19-,2467.44626397425,489.50989062867,407.694915196278,
zeta,d3,ctv2_t,2,CD8,cd19-,2478.86080579388,395.796284792995,190.080104628257,82.4806095953789
41BB,d14,ctv2_t,1,CD4,cd19-,2304.99468997778,447.511882647325,-106.571945890788,114.780107311405
41BB,d24,ctv2_t,1,CD4,cd19-,2089.63980595548,602.59132921285,-108.17195321831,95.9398638139139
41BB,d3,ctv2_t,1,CD4,cd19-,2940.30640188309,377.458509307176,77.7696991539131,139.116957400708
41BB,d33,ctv2_t,1,CD4,cd19-,2082.15478466586,461.54332418499,35.1886268792363,61.6953989761054
41BB,d14,ctv2_t,2,CD4,cd19-,2101.67712549578,509.849889250155,-106.571945890788,114.780107311405
41BB,d24,ctv2_t,2,CD4,cd19-,2008.29257038603,470.588689275283,-108.17195321831,95.9398638139139
41BB,d3,ctv2_t,2,CD4,cd19-,2766.2110518888,254.477011035592,77.7696991539131,139.116957400708
41BB,d33,ctv2_t,2,CD4,cd19-,1936.01834632033,401.716992302425,35.1886268792363,61.6953989761054
BAFF-R,d14,ctv2_t,1,CD4,cd19-,2148.57718951297,587.977020890835,-37.3159926239857,204.370351623414
BAFF-R,d24,ctv2_t,1,CD4,cd19-,1972.36192352111,560.163364896186,-0.0760409625617058,222.786813240346
BAFF-R,d3,ctv2_t,1,CD4,cd19-,2942.98530480224,226.404172707444,195.705349274449,23.8806976464964
BAFF-R,d33,ctv2_t,1,CD4,cd19-,1938.15400477954,509.534822550246,-175.594084721108,32.7485145753483
BAFF-R,d14,ctv2_t,2,CD4,cd19-,2396.60653249419,440.385696999045,-37.3159926239857,204.370351623414
BAFF-R,d24,ctv2_t,2,CD4,cd19-,2341.7622773319,432.410194366336,-0.0760409625617058,222.786813240346
BAFF-R,d3,ctv2_t,2,CD4,cd19-,2999.40344921072,201.055132131188,195.705349274449,23.8806976464964
BAFF-R,d33,ctv2_t,2,CD4,cd19-,1658.45370300596,491.808466334794,-175.594084721108,32.7485145753483
CD28,d14,ctv2_t,1,CD4,cd19-,2598.59024949145,282.050813465299,246.412124922432,30.7920691824345
CD28,d24,ctv2_t,1,CD4,cd19-,2152.54442571905,601.881756481053,-44.1372227393151,94.3416459131718
CD28,d3,ctv2_t,1,CD4,cd19-,2734.52775551195,186.927272981042,64.7693096914252,133.512668050151
CD28,d33,ctv2_t,1,CD4,cd19-,2281.35352074739,358.595328379354,127.54811108111,89.3981200258992
CD28,d14,ctv2_t,2,CD4,cd19-,2514.04970760855,329.021510065754,246.412124922432,30.7920691824345
CD28,d24,ctv2_t,2,CD4,cd19-,2073.45741158046,521.912749257731,-44.1372227393151,94.3416459131718
CD28,d3,ctv2_t,2,CD4,cd19-,2945.98891933496,230.714954983922,64.7693096914252,133.512668050151
CD28,d33,ctv2_t,2,CD4,cd19-,1921.53857864255,455.570800512073,127.54811108111,89.3981200258992
CD40,d14,ctv2_t,1,CD4,cd19-,2248.54096231662,472.634996977038,-11.2043983080703,99.9275991952688
CD40,d24,ctv2_t,1,CD4,cd19-,2426.71568172036,385.620488111509,304.396141877447,10.8222566174576
CD40,d3,ctv2_t,1,CD4,cd19-,2522.7923948534,429.490361762452,-52.0857287468689,267.693706536371
CD40,d33,ctv2_t,1,CD4,cd19-,2295.60660204997,264.799168835982,53.7188176702777,213.965408951634
CD40,d14,ctv2_t,2,CD4,cd19-,2348.86594832238,470.58389165898,-11.2043983080703,99.9275991952688
CD40,d24,ctv2_t,2,CD4,cd19-,2496.35288481267,200.288501169286,304.396141877447,10.8222566174576
CD40,d3,ctv2_t,2,CD4,cd19-,2924.01420311693,254.775987197604,-52.0857287468689,267.693706536371
CD40,d33,ctv2_t,2,CD4,cd19-,1759.62691051831,488.011619598514,53.7188176702777,213.965408951634
KLRG1,d14,ctv2_t,1,CD4,cd19-,2385.12376160907,506.604121333592,184.084142646115,182.950055242457
KLRG1,d24,ctv2_t,1,CD4,cd19-,2488.6176671022,480.377934691004,365.540997853652,9.7515139435446
KLRG1,d3,ctv2_t,1,CD4,cd19-,2772.25046345095,262.091696903523,-13.8314722018549,30.9935888932234
KLRG1,d33,ctv2_t,1,CD4,cd19-,2173.82188621781,431.960882202065,122.948619701393,56.1699128207671
KLRG1,d14,ctv2_t,2,CD4,cd19-,2602.86023093829,228.789237835029,184.084142646115,182.950055242457
KLRG1,d24,ctv2_t,2,CD4,cd19-,2556.74061138324,224.410037146816,365.540997853652,9.7515139435446
KLRG1,d3,ctv2_t,2,CD4,cd19-,2751.06464760941,177.696848606367,-13.8314722018549,30.9935888932234
KLRG1,d33,ctv2_t,2,CD4,cd19-,2019.8712304127,423.365651599972,122.948619701393,56.1699128207671
TACI,d14,ctv2_t,1,CD4,cd19-,2344.25870910983,484.788736859176,-21.2339713325296,49.6216946754897
TACI,d24,ctv2_t,1,CD4,cd19-,1919.43980250665,616.312260500614,-248.416054018069,53.5758200144716
TACI,d3,ctv2_t,1,CD4,cd19-,3036.38208149835,185.941135570358,80.5465407344038,271.061439503127
TACI,d33,ctv2_t,1,CD4,cd19-,2190.98310219034,312.674938475597,122.199581916521,30.8409890515009
TACI,d14,ctv2_t,2,CD4,cd19-,2233.08905548024,465.896328887261,-21.2339713325296,49.6216946754897
TACI,d24,ctv2_t,2,CD4,cd19-,1898.00437223534,545.321307259257,-248.416054018069,53.5758200144716
TACI,d3,ctv2_t,2,CD4,cd19-,2675.68905543452,194.724103937804,80.5465407344038,271.061439503127
TACI,d33,ctv2_t,2,CD4,cd19-,2001.21193887042,392.357777179319,122.199581916521,30.8409890515009
TNR8,d14,ctv2_t,1,CD4,cd19-,2427.18890426288,365.957292381319,91.8570350392206,6.96786639782889
TNR8,d24,ctv2_t,1,CD4,cd19-,2270.19789083466,400.4639266584,153.820224098308,19.2253341506631
TNR8,d3,ctv2_t,1,CD4,cd19-,2410.30120421734,412.575265575946,-347.967934664772,8.33964550741796
TNR8,d33,ctv2_t,1,CD4,cd19-,1734.0862041315,499.929888822073,-172.092244713762,260.799286376411
TNR8,d14,ctv2_t,2,CD4,cd19-,2376.3408730707,393.324204768558,91.8570350392206,6.96786639782889
TNR8,d24,ctv2_t,2,CD4,cd19-,2351.7188401401,309.628144735724,153.820224098308,19.2253341506631
TNR8,d3,ctv2_t,2,CD4,cd19-,2444.74098191718,388.401398727963,-347.967934664772,8.33964550741796
TNR8,d33,ctv2_t,2,CD4,cd19-,1869.52518366869,398.15077151026,-172.092244713762,260.799286376411
zeta,d14,ctv2_t,1,CD4,cd19-,2240.68320083194,503.205123127798,-161.942851806279,102.136213251525
zeta,d24,ctv2_t,1,CD4,cd19-,2078.90468593671,647.16483504273,-57.4150950374985,8.97707426690837
zeta,d3,ctv2_t,1,CD4,cd19-,2761.86796864531,233.829219925858,-18.7372354425511,23.2483208366012
zeta,d33,ctv2_t,1,CD4,cd19-,2111.80153082985,442.998944725,9.03119188772598,17.2236308511366
zeta,d14,ctv2_t,2,CD4,cd19-,2055.24680281063,530.96983898907,-161.942851806279,102.136213251525
zeta,d24,ctv2_t,2,CD4,cd19-,2120.54140676643,549.963459167584,-57.4150950374985,8.97707426690837
zeta,d3,ctv2_t,2,CD4,cd19-,2751.63561593366,165.583838997512,-18.7372354425511,23.2483208366012
zeta,d33,ctv2_t,2,CD4,cd19-,1854.05673017332,411.408590814113,9.03119188772598,17.2236308511366
