# Domain Rank data: Fig S1C
Domain Name,Assay Name,Donor Name,T Cell Type,Experimental Batch,Sorted Cell Group,Rank of Domain within the Sort Group,Mean Rank of the Domain,Mean Rank of the Domain within the Assay
BTLA,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,17,12.1923076923077,12.6
BTLA,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,13,12.1923076923077,5.4
BTLA,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,8,12.1923076923077,12.6
BTLA,il2,B,CD8,prolif1,68_il2.ifng_CD8_pos,4,12.1923076923077,5.4
BTLA,ifng,B,CD8,prolif1,68_il2.ifng_CD8_pos,8,12.1923076923077,12.6
CD2,il2,A,CD8,prolif1,67_il2.ifng_CD8_pos,28,30,25.6666666666667
CD2,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,33,30,26.6666666666667
CD2,il2,B,CD8,prolif1,68_il2.ifng_CD8_pos,19,30,25.6666666666667
CD2,ifng,B,CD8,prolif1,68_il2.ifng_CD8_pos,27,30,26.6666666666667
CD200R,il2,A,CD4,prolif1,67_il2.ifng_CD4_pos,13,22.9615384615385,21.2
CD200R,ifng,A,CD4,prolif1,67_il2.ifng_CD4_pos,19,22.9615384615385,21.4
CD200R,il2,A,CD8,prolif1,67_il2.ifng_CD8_pos,24,22.9615384615385,21.2
CD200R,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,26,22.9615384615385,21.4
CD200R,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,25,22.9615384615385,21.2
CD200R,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,21,22.9615384615385,21.4
CD200R,il2,B,CD8,prolif1,68_il2.ifng_CD8_pos,21,22.9615384615385,21.2
CD200R,ifng,B,CD8,prolif1,68_il2.ifng_CD8_pos,20,22.9615384615385,21.4
CD244,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,23,26.6,14.5
CD244,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,29,26.6,21
CD28,il2,A,CD4,prolif1,67_il2.ifng_CD4_pos,30,32.3076923076923,32
CD28,ifng,A,CD4,prolif1,67_il2.ifng_CD4_pos,25,32.3076923076923,30
CD28,il2,A,CD8,prolif1,67_il2.ifng_CD8_pos,32,32.3076923076923,32
CD28,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,30,32.3076923076923,30
CD28,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,33,32.3076923076923,32
CD28,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,31,32.3076923076923,30
CD28,il2,B,CD8,prolif1,68_il2.ifng_CD8_pos,31,32.3076923076923,32
CD28,ifng,B,CD8,prolif1,68_il2.ifng_CD8_pos,31,32.3076923076923,30
CD300a,il2,A,CD4,prolif1,67_il2.ifng_CD4_pos,1,12.9615384615385,6.4
CD300a,ifng,A,CD4,prolif1,67_il2.ifng_CD4_pos,1,12.9615384615385,5.8
CD300a,il2,A,CD8,prolif1,67_il2.ifng_CD8_pos,5,12.9615384615385,6.4
CD300a,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,11,12.9615384615385,5.8
CD300a,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,1,12.9615384615385,6.4
CD300a,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,4,12.9615384615385,5.8
CD300a,il2,B,CD8,prolif1,68_il2.ifng_CD8_pos,16,12.9615384615385,6.4
CD300a,ifng,B,CD8,prolif1,68_il2.ifng_CD8_pos,10,12.9615384615385,5.8
CD300f,il2,A,CD4,prolif1,67_il2.ifng_CD4_pos,24,10.4230769230769,15.6
CD300f,ifng,A,CD4,prolif1,67_il2.ifng_CD4_pos,23,10.4230769230769,17
CD300f,il2,A,CD8,prolif1,67_il2.ifng_CD8_pos,23,10.4230769230769,15.6
CD300f,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,25,10.4230769230769,17
CD300f,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,15,10.4230769230769,15.6
CD300f,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,13,10.4230769230769,17
CD300f,il2,B,CD8,prolif1,68_il2.ifng_CD8_pos,8,10.4230769230769,15.6
CD300f,ifng,B,CD8,prolif1,68_il2.ifng_CD8_pos,12,10.4230769230769,17
CD40,il2,A,CD4,prolif1,67_il2.ifng_CD4_pos,12,23.1923076923077,12.4
CD40,ifng,A,CD4,prolif1,67_il2.ifng_CD4_pos,7,23.1923076923077,7.4
CD40,il2,A,CD8,prolif1,67_il2.ifng_CD8_pos,9,23.1923076923077,12.4
CD40,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,5,23.1923076923077,7.4
CD40,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,4,23.1923076923077,12.4
CD40,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,2,23.1923076923077,7.4
CD40,il2,B,CD8,prolif1,68_il2.ifng_CD8_pos,12,23.1923076923077,12.4
CD40,ifng,B,CD8,prolif1,68_il2.ifng_CD8_pos,4,23.1923076923077,7.4
CD7,il2,A,CD4,prolif1,67_il2.ifng_CD4_pos,23,24.8461538461538,27.4
CD7,ifng,A,CD4,prolif1,67_il2.ifng_CD4_pos,13,24.8461538461538,22.6
CD7,il2,A,CD8,prolif1,67_il2.ifng_CD8_pos,27,24.8461538461538,27.4
CD7,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,20,24.8461538461538,22.6
CD7,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,30,24.8461538461538,27.4
CD7,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,30,24.8461538461538,22.6
CD7,il2,B,CD8,prolif1,68_il2.ifng_CD8_pos,29,24.8461538461538,27.4
CD7,ifng,B,CD8,prolif1,68_il2.ifng_CD8_pos,22,24.8461538461538,22.6
CD72,il2,A,CD4,prolif1,67_il2.ifng_CD4_pos,10,8.46153846153846,7.8
CD72,ifng,A,CD4,prolif1,67_il2.ifng_CD4_pos,2,8.46153846153846,5
CD72,il2,A,CD8,prolif1,67_il2.ifng_CD8_pos,2,8.46153846153846,7.8
CD72,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,4,8.46153846153846,5
CD72,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,10,8.46153846153846,7.8
CD72,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,5,8.46153846153846,5
CD72,il2,B,CD8,prolif1,68_il2.ifng_CD8_pos,7,8.46153846153846,7.8
CD72,ifng,B,CD8,prolif1,68_il2.ifng_CD8_pos,9,8.46153846153846,5
CD96,il2,A,CD4,prolif1,67_il2.ifng_CD4_pos,20,13.24,11.8
CD96,ifng,A,CD4,prolif1,67_il2.ifng_CD4_pos,14,13.24,14.2
CD96,il2,A,CD8,prolif1,67_il2.ifng_CD8_pos,11,13.24,11.8
CD96,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,10,13.24,14.2
CD96,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,3,13.24,11.8
CD96,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,10,13.24,14.2
CD96,il2,B,CD8,prolif1,68_il2.ifng_CD8_pos,3,13.24,11.8
CD96,ifng,B,CD8,prolif1,68_il2.ifng_CD8_pos,15,13.24,14.2
CRACC,il2,A,CD4,prolif1,67_il2.ifng_CD4_pos,17,19.5,12.4
CRACC,ifng,A,CD4,prolif1,67_il2.ifng_CD4_pos,29,19.5,27.4
CRACC,il2,A,CD8,prolif1,67_il2.ifng_CD8_pos,10,19.5,12.4
CRACC,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,29,19.5,27.4
CRACC,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,17,19.5,12.4
CRACC,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,26,19.5,27.4
CRACC,il2,B,CD8,prolif1,68_il2.ifng_CD8_pos,2,19.5,12.4
CRACC,ifng,B,CD8,prolif1,68_il2.ifng_CD8_pos,26,19.5,27.4
CRTAM,il2,A,CD4,prolif1,67_il2.ifng_CD4_pos,18,22.9230769230769,20
CRTAM,ifng,A,CD4,prolif1,67_il2.ifng_CD4_pos,10,22.9230769230769,17.8
CRTAM,il2,A,CD8,prolif1,67_il2.ifng_CD8_pos,20,22.9230769230769,20
CRTAM,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,21,22.9230769230769,17.8
CRTAM,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,24,22.9230769230769,20
CRTAM,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,18,22.9230769230769,17.8
CRTAM,il2,B,CD8,prolif1,68_il2.ifng_CD8_pos,17,22.9230769230769,20
CRTAM,ifng,B,CD8,prolif1,68_il2.ifng_CD8_pos,16,22.9230769230769,17.8
CTLA4,il2,A,CD4,prolif1,67_il2.ifng_CD4_pos,21,23.4615384615385,25.4
CTLA4,ifng,A,CD4,prolif1,67_il2.ifng_CD4_pos,11,23.4615384615385,20
CTLA4,il2,A,CD8,prolif1,67_il2.ifng_CD8_pos,25,23.4615384615385,25.4
CTLA4,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,24,23.4615384615385,20
CTLA4,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,27,23.4615384615385,25.4
CTLA4,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,28,23.4615384615385,20
CTLA4,il2,B,CD8,prolif1,68_il2.ifng_CD8_pos,28,23.4615384615385,25.4
CTLA4,ifng,B,CD8,prolif1,68_il2.ifng_CD8_pos,19,23.4615384615385,20
CXADR,il2,A,CD4,prolif1,67_il2.ifng_CD4_pos,26,23.8846153846154,21.8
CXADR,ifng,A,CD4,prolif1,67_il2.ifng_CD4_pos,27,23.8846153846154,19.8
CXADR,il2,A,CD8,prolif1,67_il2.ifng_CD8_pos,22,23.8846153846154,21.8
CXADR,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,18,23.8846153846154,19.8
CXADR,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,26,23.8846153846154,21.8
CXADR,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,19,23.8846153846154,19.8
CXADR,il2,B,CD8,prolif1,68_il2.ifng_CD8_pos,15,23.8846153846154,21.8
CXADR,ifng,B,CD8,prolif1,68_il2.ifng_CD8_pos,21,23.8846153846154,19.8
DC-SIGN,il2,A,CD4,prolif1,67_il2.ifng_CD4_pos,2,7.38461538461539,8.4
DC-SIGN,ifng,A,CD4,prolif1,67_il2.ifng_CD4_pos,3,7.38461538461539,7.4
DC-SIGN,il2,A,CD8,prolif1,67_il2.ifng_CD8_pos,3,7.38461538461539,8.4
DC-SIGN,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,2,7.38461538461539,7.4
DC-SIGN,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,2,7.38461538461539,8.4
DC-SIGN,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,20,7.38461538461539,7.4
DC-SIGN,il2,B,CD8,prolif1,68_il2.ifng_CD8_pos,22,7.38461538461539,8.4
DC-SIGN,ifng,B,CD8,prolif1,68_il2.ifng_CD8_pos,2,7.38461538461539,7.4
HAVCR2,il2,A,CD4,prolif1,67_il2.ifng_CD4_pos,15,15.5769230769231,16.8
HAVCR2,ifng,A,CD4,prolif1,67_il2.ifng_CD4_pos,8,15.5769230769231,12
HAVCR2,il2,A,CD8,prolif1,67_il2.ifng_CD8_pos,19,15.5769230769231,16.8
HAVCR2,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,16,15.5769230769231,12
HAVCR2,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,21,15.5769230769231,16.8
HAVCR2,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,3,15.5769230769231,12
HAVCR2,il2,B,CD8,prolif1,68_il2.ifng_CD8_pos,14,15.5769230769231,16.8
HAVCR2,ifng,B,CD8,prolif1,68_il2.ifng_CD8_pos,7,15.5769230769231,12
ICOS,il2,A,CD4,prolif1,67_il2.ifng_CD4_pos,5,17.1153846153846,18.4
ICOS,ifng,A,CD4,prolif1,67_il2.ifng_CD4_pos,5,17.1153846153846,16.6
ICOS,il2,A,CD8,prolif1,67_il2.ifng_CD8_pos,15,17.1153846153846,18.4
ICOS,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,12,17.1153846153846,16.6
ICOS,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,22,17.1153846153846,18.4
ICOS,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,25,17.1153846153846,16.6
ICOS,il2,B,CD8,prolif1,68_il2.ifng_CD8_pos,23,17.1153846153846,18.4
ICOS,ifng,B,CD8,prolif1,68_il2.ifng_CD8_pos,18,17.1153846153846,16.6
ILT4,il2,A,CD4,prolif1,67_il2.ifng_CD4_pos,4,18.0416666666667,8
ILT4,ifng,A,CD4,prolif1,67_il2.ifng_CD4_pos,24,18.0416666666667,15
ILT4,il2,A,CD8,prolif1,67_il2.ifng_CD8_pos,12,18.0416666666667,8
ILT4,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,23,18.0416666666667,15
ILT4,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,5,18.0416666666667,8
ILT4,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,12,18.0416666666667,15
KIR2DL1,il2,A,CD4,prolif1,67_il2.ifng_CD4_pos,19,17.8461538461538,14.4
KIR2DL1,ifng,A,CD4,prolif1,67_il2.ifng_CD4_pos,18,17.8461538461538,22.4
KIR2DL1,il2,A,CD8,prolif1,67_il2.ifng_CD8_pos,21,17.8461538461538,14.4
KIR2DL1,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,22,17.8461538461538,22.4
KIR2DL1,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,19,17.8461538461538,14.4
KIR2DL1,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,17,17.8461538461538,22.4
KIR2DL1,il2,B,CD8,prolif1,68_il2.ifng_CD8_pos,10,17.8461538461538,14.4
KIR2DL1,ifng,B,CD8,prolif1,68_il2.ifng_CD8_pos,24,17.8461538461538,22.4
KIR3DL1,il2,A,CD4,prolif1,67_il2.ifng_CD4_pos,9,11.9615384615385,8.2
KIR3DL1,ifng,A,CD4,prolif1,67_il2.ifng_CD4_pos,16,11.9615384615385,10
KIR3DL1,il2,A,CD8,prolif1,67_il2.ifng_CD8_pos,6,11.9615384615385,8.2
KIR3DL1,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,6,11.9615384615385,10
KIR3DL1,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,18,11.9615384615385,8.2
KIR3DL1,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,6,11.9615384615385,10
KIR3DL1,il2,B,CD8,prolif1,68_il2.ifng_CD8_pos,1,11.9615384615385,8.2
KIR3DL1,ifng,B,CD8,prolif1,68_il2.ifng_CD8_pos,11,11.9615384615385,10
KLRG1,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,28,8.2,15
KLRG1,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,22,8.2,12
LAG3,il2,A,CD4,prolif1,67_il2.ifng_CD4_pos,16,15.3076923076923,16.6
LAG3,ifng,A,CD4,prolif1,67_il2.ifng_CD4_pos,15,15.3076923076923,14.4
LAG3,il2,A,CD8,prolif1,67_il2.ifng_CD8_pos,13,15.3076923076923,16.6
LAG3,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,13,15.3076923076923,14.4
LAG3,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,12,15.3076923076923,16.6
LAG3,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,15,15.3076923076923,14.4
LAG3,il2,B,CD8,prolif1,68_il2.ifng_CD8_pos,18,15.3076923076923,16.6
LAG3,ifng,B,CD8,prolif1,68_il2.ifng_CD8_pos,14,15.3076923076923,14.4
LAIR1,il2,A,CD4,prolif1,67_il2.ifng_CD4_pos,28,10.4615384615385,14
LAIR1,ifng,A,CD4,prolif1,67_il2.ifng_CD4_pos,22,10.4615384615385,8.8
LAIR1,il2,A,CD8,prolif1,67_il2.ifng_CD8_pos,17,10.4615384615385,14
LAIR1,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,7,10.4615384615385,8.8
LAIR1,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,8,10.4615384615385,14
LAIR1,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,1,10.4615384615385,8.8
LAIR1,il2,B,CD8,prolif1,68_il2.ifng_CD8_pos,5,10.4615384615385,14
LAIR1,ifng,B,CD8,prolif1,68_il2.ifng_CD8_pos,6,10.4615384615385,8.8
HAVCR1b,il2,A,CD4,prolif1,67_il2.ifng_CD4_pos,6,5.5,6.25
HAVCR1b,ifng,A,CD4,prolif1,67_il2.ifng_CD4_pos,4,5.5,4.75
HAVCR1b,il2,A,CD8,prolif1,67_il2.ifng_CD8_pos,7,5.5,6.25
HAVCR1b,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,3,5.5,4.75
HAVCR1b,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,6,5.5,6.25
HAVCR1b,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,7,5.5,4.75
HAVCR1b,il2,B,CD8,prolif1,68_il2.ifng_CD8_pos,6,5.5,6.25
HAVCR1b,ifng,B,CD8,prolif1,68_il2.ifng_CD8_pos,5,5.5,4.75
NKR-P1A,il2,A,CD4,prolif1,67_il2.ifng_CD4_pos,7,4.30769230769231,9.4
NKR-P1A,ifng,A,CD4,prolif1,67_il2.ifng_CD4_pos,6,4.30769230769231,5.2
NKR-P1A,il2,A,CD8,prolif1,67_il2.ifng_CD8_pos,4,4.30769230769231,9.4
NKR-P1A,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,1,4.30769230769231,5.2
NKR-P1A,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,9,4.30769230769231,9.4
NKR-P1A,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,9,4.30769230769231,5.2
NKR-P1A,il2,B,CD8,prolif1,68_il2.ifng_CD8_pos,13,4.30769230769231,9.4
NKR-P1A,ifng,B,CD8,prolif1,68_il2.ifng_CD8_pos,1,4.30769230769231,5.2
NTB-A,il2,A,CD4,prolif1,67_il2.ifng_CD4_pos,29,33.0769230769231,30
NTB-A,ifng,A,CD4,prolif1,67_il2.ifng_CD4_pos,31,33.0769230769231,31.4
NTB-A,il2,A,CD8,prolif1,67_il2.ifng_CD8_pos,30,33.0769230769231,30
NTB-A,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,31,33.0769230769231,31.4
NTB-A,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,32,33.0769230769231,30
NTB-A,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,33,33.0769230769231,31.4
NTB-A,il2,B,CD8,prolif1,68_il2.ifng_CD8_pos,27,33.0769230769231,30
NTB-A,ifng,B,CD8,prolif1,68_il2.ifng_CD8_pos,30,33.0769230769231,31.4
NKG2D,il2,A,CD4,prolif1,67_il2.ifng_CD4_pos,3,12.1923076923077,9.8
NKG2D,ifng,A,CD4,prolif1,67_il2.ifng_CD4_pos,9,12.1923076923077,10.4
NKG2D,il2,A,CD8,prolif1,67_il2.ifng_CD8_pos,8,12.1923076923077,9.8
NKG2D,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,9,12.1923076923077,10.4
NKG2D,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,14,12.1923076923077,9.8
NKG2D,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,24,12.1923076923077,10.4
NKG2D,il2,B,CD8,prolif1,68_il2.ifng_CD8_pos,20,12.1923076923077,9.8
NKG2D,ifng,B,CD8,prolif1,68_il2.ifng_CD8_pos,3,12.1923076923077,10.4
PD1,il2,A,CD4,prolif1,67_il2.ifng_CD4_pos,22,23.9230769230769,19.4
PD1,ifng,A,CD4,prolif1,67_il2.ifng_CD4_pos,21,23.9230769230769,17.6
PD1,il2,A,CD8,prolif1,67_il2.ifng_CD8_pos,26,23.9230769230769,19.4
PD1,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,27,23.9230769230769,17.6
PD1,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,7,23.9230769230769,19.4
PD1,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,11,23.9230769230769,17.6
PD1,il2,B,CD8,prolif1,68_il2.ifng_CD8_pos,24,23.9230769230769,19.4
PD1,ifng,B,CD8,prolif1,68_il2.ifng_CD8_pos,23,23.9230769230769,17.6
Siglec-3,il2,A,CD4,prolif1,67_il2.ifng_CD4_pos,14,18.6538461538462,13.2
Siglec-3,ifng,A,CD4,prolif1,67_il2.ifng_CD4_pos,20,18.6538461538462,17.2
Siglec-3,il2,A,CD8,prolif1,67_il2.ifng_CD8_pos,18,18.6538461538462,13.2
Siglec-3,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,19,18.6538461538462,17.2
Siglec-3,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,20,18.6538461538462,13.2
Siglec-3,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,14,18.6538461538462,17.2
Siglec-3,il2,B,CD8,prolif1,68_il2.ifng_CD8_pos,9,18.6538461538462,13.2
Siglec-3,ifng,B,CD8,prolif1,68_il2.ifng_CD8_pos,17,18.6538461538462,17.2
TACI,il2,A,CD4,prolif1,67_il2.ifng_CD4_pos,31,33.8846153846154,32.2
TACI,ifng,A,CD4,prolif1,67_il2.ifng_CD4_pos,32,33.8846153846154,31
TACI,il2,A,CD8,prolif1,67_il2.ifng_CD8_pos,33,33.8846153846154,32.2
TACI,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,28,33.8846153846154,31
TACI,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,34,33.8846153846154,32.2
TACI,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,34,33.8846153846154,31
TACI,il2,B,CD8,prolif1,68_il2.ifng_CD8_pos,32,33.8846153846154,32.2
TACI,ifng,B,CD8,prolif1,68_il2.ifng_CD8_pos,32,33.8846153846154,31
TIGIT,il2,A,CD4,prolif1,67_il2.ifng_CD4_pos,11,21.1153846153846,14.2
TIGIT,ifng,A,CD4,prolif1,67_il2.ifng_CD4_pos,12,21.1153846153846,14.4
TIGIT,il2,A,CD8,prolif1,67_il2.ifng_CD8_pos,14,21.1153846153846,14.2
TIGIT,ifng,A,CD8,prolif1,67_il2.ifng_CD8_pos,14,21.1153846153846,14.4
TIGIT,il2,B,CD4,prolif1,68_il2.ifng_CD4_pos,16,21.1153846153846,14.2
TIGIT,ifng,B,CD4,prolif1,68_il2.ifng_CD4_pos,16,21.1153846153846,14.4
TIGIT,il2,B,CD8,prolif1,68_il2.ifng_CD8_pos,11,21.1153846153846,14.2
TIGIT,ifng,B,CD8,prolif1,68_il2.ifng_CD8_pos,13,21.1153846153846,14.4
4-1BB,il2,C,CD4,prolif1,d1_il2_CD4_pos,33,30.8076923076923,30.6
BAFF-R,il2,C,CD4,prolif1,d1_il2_CD4_pos,29,34.7307692307692,28.8
BCMA,il2,C,CD4,prolif1,d1_il2_CD4_pos,17,26.2307692307692,18.8
BTLA,il2,C,CD4,prolif1,d1_il2_CD4_pos,1,12.1923076923077,5.4
CD2,il2,C,CD4,prolif1,d1_il2_CD4_pos,30,30,25.6666666666667
CD200R,il2,C,CD4,prolif1,d1_il2_CD4_pos,23,22.9615384615385,21.2
CD244,il2,C,CD4,prolif1,d1_il2_CD4_pos,6,26.6,14.5
CD28,il2,C,CD4,prolif1,d1_il2_CD4_pos,34,32.3076923076923,32
CD300a,il2,C,CD4,prolif1,d1_il2_CD4_pos,9,12.9615384615385,6.4
CD300f,il2,C,CD4,prolif1,d1_il2_CD4_pos,8,10.4230769230769,15.6
CD40,il2,C,CD4,prolif1,d1_il2_CD4_pos,25,23.1923076923077,12.4
CD7,il2,C,CD4,prolif1,d1_il2_CD4_pos,28,24.8461538461538,27.4
CD72,il2,C,CD4,prolif1,d1_il2_CD4_pos,10,8.46153846153846,7.8
CD96,il2,C,CD4,prolif1,d1_il2_CD4_pos,22,13.24,11.8
CRACC,il2,C,CD4,prolif1,d1_il2_CD4_pos,16,19.5,12.4
CRTAM,il2,C,CD4,prolif1,d1_il2_CD4_pos,21,22.9230769230769,20
CTLA4,il2,C,CD4,prolif1,d1_il2_CD4_pos,26,23.4615384615385,25.4
CXADR,il2,C,CD4,prolif1,d1_il2_CD4_pos,20,23.8846153846154,21.8
DC-SIGN,il2,C,CD4,prolif1,d1_il2_CD4_pos,13,7.38461538461539,8.4
HAVCR2,il2,C,CD4,prolif1,d1_il2_CD4_pos,15,15.5769230769231,16.8
ICOS,il2,C,CD4,prolif1,d1_il2_CD4_pos,27,17.1153846153846,18.4
ILT4,il2,C,CD4,prolif1,d1_il2_CD4_pos,11,18.0416666666667,8
KIR2DL1,il2,C,CD4,prolif1,d1_il2_CD4_pos,3,17.8461538461538,14.4
KIR3DL1,il2,C,CD4,prolif1,d1_il2_CD4_pos,7,11.9615384615385,8.2
KLRG1,il2,C,CD4,prolif1,d1_il2_CD4_pos,2,8.2,15
LAG3,il2,C,CD4,prolif1,d1_il2_CD4_pos,24,15.3076923076923,16.6
LAIR1,il2,C,CD4,prolif1,d1_il2_CD4_pos,12,10.4615384615385,14
NKR-P1A,il2,C,CD4,prolif1,d1_il2_CD4_pos,14,4.30769230769231,9.4
NTB-A,il2,C,CD4,prolif1,d1_il2_CD4_pos,32,33.0769230769231,30
NKG2D,il2,C,CD4,prolif1,d1_il2_CD4_pos,4,12.1923076923077,9.8
PD1,il2,C,CD4,prolif1,d1_il2_CD4_pos,18,23.9230769230769,19.4
Siglec-3,il2,C,CD4,prolif1,d1_il2_CD4_pos,5,18.6538461538462,13.2
TACI,il2,C,CD4,prolif1,d1_il2_CD4_pos,31,33.8846153846154,32.2
TIGIT,il2,C,CD4,prolif1,d1_il2_CD4_pos,19,21.1153846153846,14.2
4-1BB,ifng,C,CD4,prolif1,d1_ifng_CD4_pos,30,30.8076923076923,24.8
BAFF-R,ifng,C,CD4,prolif1,d1_ifng_CD4_pos,34,34.7307692307692,30.8
BCMA,ifng,C,CD4,prolif1,d1_ifng_CD4_pos,25,26.2307692307692,21
BTLA,ifng,C,CD4,prolif1,d1_ifng_CD4_pos,4,12.1923076923077,12.6
CD2,ifng,C,CD4,prolif1,d1_ifng_CD4_pos,20,30,26.6666666666667
CD200R,ifng,C,CD4,prolif1,d1_ifng_CD4_pos,21,22.9615384615385,21.4
CD244,ifng,C,CD4,prolif1,d1_ifng_CD4_pos,13,26.6,21
CD28,ifng,C,CD4,prolif1,d1_ifng_CD4_pos,33,32.3076923076923,30
CD300a,ifng,C,CD4,prolif1,d1_ifng_CD4_pos,3,12.9615384615385,5.8
CD300f,ifng,C,CD4,prolif1,d1_ifng_CD4_pos,12,10.4230769230769,17
CD40,ifng,C,CD4,prolif1,d1_ifng_CD4_pos,19,23.1923076923077,7.4
CD7,ifng,C,CD4,prolif1,d1_ifng_CD4_pos,28,24.8461538461538,22.6
CD72,ifng,C,CD4,prolif1,d1_ifng_CD4_pos,5,8.46153846153846,5
CD96,ifng,C,CD4,prolif1,d1_ifng_CD4_pos,22,13.24,14.2
CRACC,ifng,C,CD4,prolif1,d1_ifng_CD4_pos,27,19.5,27.4
CRTAM,ifng,C,CD4,prolif1,d1_ifng_CD4_pos,24,22.9230769230769,17.8
CTLA4,ifng,C,CD4,prolif1,d1_ifng_CD4_pos,18,23.4615384615385,20
