# z-score heatmap data: Fig 3A
Domain Name,Assay Name,T Cell Type,K562 Condition,Z-score,Internal name for measurement z-score,Adjusted P-value
DC-SIGN,CD69,CD4,pos,-0.829391609534021,rlog_car_score,0.406882847752943
DC-SIGN,CD69,CD8,pos,0.0206444641785802,rlog_car_score,0.983529270728233
HAVCR2,CD69,CD4,pos,0.181938204074222,rlog_car_score,0.85563122230764
HAVCR2,CD69,CD8,pos,-1.0834217328413,rlog_car_score,0.27862127353473
ICOS,CD69,CD4,pos,0.247231737005313,rlog_car_score,0.804728884933855
ICOS,CD69,CD8,pos,0.060517117599727,rlog_car_score,0.951743782962764
ILT2,CD69,CD4,pos,-0.49872608860012,rlog_car_score,0.617972363011093
ILT2,CD69,CD8,pos,-0.669749980499592,rlog_car_score,0.503017184539151
ILT3,CD69,CD4,pos,-1.08195396766033,rlog_car_score,0.279272982708675
ILT3,CD69,CD8,pos,0.0544167895888343,rlog_car_score,0.956603102516189
ILT4,CD69,CD4,pos,-0.326788665327031,rlog_car_score,0.743827732947284
ILT4,CD69,CD8,pos,-1.97905799858852,rlog_car_score,0.0478094766396841
KIR2DL1,CD69,CD4,pos,-0.26701362208669,rlog_car_score,0.789458672848289
KIR2DL1,CD69,CD8,pos,-0.374092418056058,rlog_car_score,0.708335559374901
KIR3DL1,CD69,CD4,pos,-1.56147815260765,rlog_car_score,0.118410974718576
KIR3DL1,CD69,CD8,pos,0.268547467054547,rlog_car_score,0.788277942743291
KLRG1,CD69,CD4,pos,-1.14376109363238,rlog_car_score,0.252722729028227
KLRG1,CD69,CD8,pos,-0.437372281797,rlog_car_score,0.661841382620881
LAG3,CD69,CD4,pos,-0.166112491744752,rlog_car_score,0.86806842374259
LAG3,CD69,CD8,pos,-0.347742742650962,rlog_car_score,0.728033393622092
LAIR1,CD69,CD4,pos,-1.31756962225531,rlog_car_score,0.187647760311213
LAIR1,CD69,CD8,pos,-0.949109157732368,rlog_car_score,0.342565097243245
TIM1,CD69,CD4,pos,-1.08416680934016,rlog_car_score,0.278290844955591
TIM1,CD69,CD8,pos,-1.72831079746662,rlog_car_score,0.0839325182818005
NKR-P1A,CD69,CD4,pos,-1.70971521285773,rlog_car_score,0.0873185482171003
NKR-P1A,CD69,CD8,pos,-1.19325762607197,rlog_car_score,0.23276849224464
NTB-A,CD69,CD4,pos,2.32605070454096,rlog_car_score,0.0200158458839599
NTB-A,CD69,CD8,pos,1.84923043273174,rlog_car_score,0.0644245461113303
NKG2D,CD69,CD4,pos,-0.350992371093495,rlog_car_score,0.725594071747103
NKG2D,CD69,CD8,pos,-1.1442200353183,rlog_car_score,0.25253239613659
PD1,CD69,CD4,pos,0.179129028327421,rlog_car_score,0.857836389318125
PD1,CD69,CD8,pos,0.577009836142504,rlog_car_score,0.563932810919244
Siglec-3,CD69,CD4,pos,0.0144234645292337,rlog_car_score,0.988492139349068
Siglec-3,CD69,CD8,pos,-0.154790602472288,rlog_car_score,0.876986400054994
TACI,CD69,CD4,pos,1.53176605874247,rlog_car_score,0.125580174508076
TACI,CD69,CD8,pos,2.66013573285632,rlog_car_score,0.00781091667918082
TIGIT,CD69,CD4,pos,1.18994095100642,rlog_car_score,0.234069601536992
TIGIT,CD69,CD8,pos,0.790441473899079,rlog_car_score,0.429269989196161
TLT-1,CD69,CD4,pos,0.935368356932101,rlog_car_score,0.349598498396031
TLT-1,CD69,CD8,pos,-0.221839370793929,rlog_car_score,0.824438929511962
GITR,CD69,CD4,pos,-0.0626697034233954,rlog_car_score,0.950029523119724
GITR,CD69,CD8,pos,-1.6696186798759,rlog_car_score,0.0949948321764374
CD30,CD69,CD4,pos,-0.399680193433346,rlog_car_score,0.689392082260436
CD30,CD69,CD8,pos,1.25177852772506,rlog_car_score,0.21065057640168
4-1BB,CTV3,CD4,pos,3.74248810033539,abund_rel_baseline,0.000182207163702403
4-1BB,CTV3,CD8,pos,2.03248417213846,abund_rel_baseline,0.0421046645241553
BAFF-R,CTV3,CD4,pos,1.64501603123981,abund_rel_baseline,0.099966505133555
BAFF-R,CTV3,CD8,pos,3.13498306282177,abund_rel_baseline,0.0017186403404458
BCMA,CTV3,CD4,pos,1.12301982589684,abund_rel_baseline,0.261429074348504
BCMA,CTV3,CD8,pos,1.09127578355002,abund_rel_baseline,0.275151550174316
BTLA,CTV3,CD4,pos,-0.0642021538476396,abund_rel_baseline,0.948809262412835
BTLA,CTV3,CD8,pos,-0.55579905936358,abund_rel_baseline,0.578348228620286
CD2,CTV3,CD4,pos,-0.0569830735971479,abund_rel_baseline,0.954558678543204
CD2,CTV3,CD8,pos,2.29473866289949,abund_rel_baseline,0.0217481056629637
CD200R,CTV3,CD4,pos,-0.473050266819926,abund_rel_baseline,0.636177317205971
CD200R,CTV3,CD8,pos,-0.308821092109531,abund_rel_baseline,0.757457623686529
CD244,CTV3,CD4,pos,0.276137850834189,abund_rel_baseline,0.782442189681344
CD244,CTV3,CD8,pos,1.81402409366268,abund_rel_baseline,0.0696740164858954
CD28,CTV3,CD4,pos,1.21579528237765,abund_rel_baseline,0.224062916383723
CD28,CTV3,CD8,pos,1.80839695347101,abund_rel_baseline,0.0705447417567507
CD300a,CTV3,CD4,pos,0.522481447077265,abund_rel_baseline,0.601335160785508
CD300a,CTV3,CD8,pos,-0.0506581115424998,abund_rel_baseline,0.959597955911725
CD300f,CTV3,CD4,pos,-1.34830517700027,abund_rel_baseline,0.177560247722857
CD300f,CTV3,CD8,pos,-1.47714744920448,abund_rel_baseline,0.139636116798058
CD40,CTV3,CD4,pos,3.25047573955674,abund_rel_baseline,0.0011521209797382
CD40,CTV3,CD8,pos,1.88934686293253,abund_rel_baseline,0.0588453659877806
CD7,CTV3,CD4,pos,-0.523102008534474,abund_rel_baseline,0.600903267866539
CD7,CTV3,CD8,pos,0.095002670475066,abund_rel_baseline,0.924312705784373
CD72,CTV3,CD4,pos,-0.21421344216449,abund_rel_baseline,0.830380614047489
CD72,CTV3,CD8,pos,-1.25393736543783,abund_rel_baseline,0.209864772320531
CD96,CTV3,CD4,pos,-0.59185456678137,abund_rel_baseline,0.553947979675746
CD96,CTV3,CD8,pos,-1.43948735100875,abund_rel_baseline,0.150012491227232
CRACC,CTV3,CD4,pos,-0.111530443459931,abund_rel_baseline,0.911195725798483
CRACC,CTV3,CD8,pos,-0.398263752054822,abund_rel_baseline,0.690435776856591
CRTAM,CTV3,CD4,pos,0.27594087057594,abund_rel_baseline,0.782593481915696
CRTAM,CTV3,CD8,pos,0.428402220364166,abund_rel_baseline,0.668358308420971
CTLA4,CTV3,CD4,pos,0.131367088448659,abund_rel_baseline,0.895484922615308
CTLA4,CTV3,CD8,pos,0.0356148887469235,abund_rel_baseline,0.971589436350327
CXADR,CTV3,CD4,pos,-0.159710313733107,abund_rel_baseline,0.873109276013076
CXADR,CTV3,CD8,pos,1.04313284162954,abund_rel_baseline,0.296886772131836
DC-SIGN,CTV3,CD4,pos,-2.03736147339488,abund_rel_baseline,0.0416138316762528
DC-SIGN,CTV3,CD8,pos,-2.13202898934301,abund_rel_baseline,0.0330044634773362
HAVCR2,CTV3,CD4,pos,-0.822963669642769,abund_rel_baseline,0.410528653700787
HAVCR2,CTV3,CD8,pos,-1.19597987508353,abund_rel_baseline,0.231704412665265
ICOS,CTV3,CD4,pos,-0.132845787011574,abund_rel_baseline,0.89431534244697
ICOS,CTV3,CD8,pos,-1.66490912791048,abund_rel_baseline,0.0959308868511309
ILT2,CTV3,CD4,pos,-1.60851946646287,abund_rel_baseline,0.107721456284175
ILT2,CTV3,CD8,pos,-1.03459447992195,abund_rel_baseline,0.300858333015371
ILT3,CTV3,CD4,pos,-0.950153726956042,abund_rel_baseline,0.342034146869904
ILT3,CTV3,CD8,pos,-0.270447783723608,abund_rel_baseline,0.786815783081754
ILT4,CTV3,CD4,pos,0.207177047152371,abund_rel_baseline,0.835871592146682
ILT4,CTV3,CD8,pos,-0.0847734774384762,abund_rel_baseline,0.932441479556267
KIR2DL1,CTV3,CD4,pos,-0.788967932521788,abund_rel_baseline,0.43013074921078
KIR2DL1,CTV3,CD8,pos,-0.309283018980804,abund_rel_baseline,0.757106247064989
KIR3DL1,CTV3,CD4,pos,-0.400096167040997,abund_rel_baseline,0.689085687242402
KIR3DL1,CTV3,CD8,pos,-0.62922908034565,abund_rel_baseline,0.529199093169402
KLRG1,CTV3,CD4,pos,-0.654807379714868,abund_rel_baseline,0.512591778672664
KLRG1,CTV3,CD8,pos,-2.29265973690849,abund_rel_baseline,0.0218676022838329
LAG3,CTV3,CD4,pos,-1.23417688749493,abund_rel_baseline,0.217136997852307
LAG3,CTV3,CD8,pos,-1.53845998597639,abund_rel_baseline,0.12393618499652
LAIR1,CTV3,CD4,pos,-0.576857721960584,abund_rel_baseline,0.564035572729628
LAIR1,CTV3,CD8,pos,-1.12983256678238,abund_rel_baseline,0.25854678267395
TIM1,CTV3,CD4,pos,-0.416909863693188,abund_rel_baseline,0.676744338533009
TIM1,CTV3,CD8,pos,-2.95234019593621,abund_rel_baseline,0.00315375263403969
NKR-P1A,CTV3,CD4,pos,-2.09223272892156,abund_rel_baseline,0.0364177020786074
NKR-P1A,CTV3,CD8,pos,-2.58175340874265,abund_rel_baseline,0.00982997943289536
NTB-A,CTV3,CD4,pos,0.631034039028878,abund_rel_baseline,0.528018268135311
NTB-A,CTV3,CD8,pos,2.1952903718383,abund_rel_baseline,0.0281427751240982
NKG2D,CTV3,CD4,pos,0.067053153778413,abund_rel_baseline,0.946539387781877
NKG2D,CTV3,CD8,pos,-1.2747231169952,abund_rel_baseline,0.202407261615251
PD1,CTV3,CD4,pos,0.13095365746023,abund_rel_baseline,0.895811967597936
PD1,CTV3,CD8,pos,0.633253698745159,abund_rel_baseline,0.526567984001196
Siglec-3,CTV3,CD4,pos,-0.292264666013988,abund_rel_baseline,0.77008427238593
Siglec-3,CTV3,CD8,pos,-0.399159242002093,abund_rel_baseline,0.689775872977989
TACI,CTV3,CD4,pos,0.322811624077389,abund_rel_baseline,0.746837909188865
TACI,CTV3,CD8,pos,2.70911043485,abund_rel_baseline,0.00674638799032972
TIGIT,CTV3,CD4,pos,-0.324430884445274,abund_rel_baseline,0.745611840732163
TIGIT,CTV3,CD8,pos,-0.0735270079931951,abund_rel_baseline,0.941386752965647
TLT-1,CTV3,CD4,pos,0.103857822573869,abund_rel_baseline,0.917282178744314
TLT-1,CTV3,CD8,pos,0.739357766460084,abund_rel_baseline,0.459689780466292
GITR,CTV3,CD4,pos,-0.891896484175753,abund_rel_baseline,0.372448419314236
GITR,CTV3,CD8,pos,-0.524436348094644,abund_rel_baseline,0.59997508083565
CD30,CTV3,CD4,pos,2.94847651584175,abund_rel_baseline,0.0031934440168785
CD30,CTV3,CD8,pos,3.62783713831506,abund_rel_baseline,0.000285805443279449
