# z-score heatmap data: Fig 3A
Domain Name,Assay Name,T Cell Type,K562 Condition,Z-score,Internal name for measurement z-score,Adjusted P-value
KLRG1,CTV2,CD4,pos,-1.27705467235056,AB.D,0.0869375754674212
LAG3,CTV2,CD4,pos,-0.805403517533167,AB.D,0.220500847414208
LAIR1,CTV2,CD4,pos,0.568888501377106,AB.D,0.116422531984374
NKG2D,CTV2,CD4,pos,-0.708834513339436,AB.D,0.28113565579733
NKR-P1A,CTV2,CD4,pos,-0.260544955218458,AB.D,0.95976097666627
NTB-A,CTV2,CD4,pos,-0.213620980876857,AB.D,0.947814990671974
PD1,CTV2,CD4,pos,-0.542865685880549,AB.D,0.454057899208666
Siglec-3,CTV2,CD4,pos,-0.484323709548137,AB.D,0.498066665539103
TACI,CTV2,CD4,pos,0.511413916686168,AB.D,0.139345693376829
TIGIT,CTV2,CD4,pos,-0.815698955743284,AB.D,0.220500847414208
TLT-1,CTV2,CD4,pos,-0.550767413684438,AB.D,0.454057899208666
CD30,CTV2,CD4,pos,4.39719644630504,AB.D,0.00568200446568237
4-1BB,CTV1,CD8,pos,0.477843384610577,AB.D,0.356917311130874
BAFF-R,CTV1,CD8,pos,2.00094171283544,AB.D,1.2552347620616e-16
BCMA,CTV1,CD8,pos,0.504803158152736,AB.D,0.100067957020609
BTLA,CTV1,CD8,pos,-0.8784933334233,AB.D,0.0105844250320591
CD2,CTV1,CD8,pos,1.20228865273635,AB.D,7.26564988419346e-05
CD200R,CTV1,CD8,pos,0.965248001833525,AB.D,0.00363030184393101
CD244,CTV1,CD8,pos,0.344191302662594,AB.D,0.412027712172197
CD28,CTV1,CD8,pos,0.539929014730973,AB.D,0.287113493671674
CD300a,CTV1,CD8,pos,-1.13229404127186,AB.D,0.000380516799872893
CD300f,CTV1,CD8,pos,-0.554063621045696,AB.D,0.0924315848623697
CD40,CTV1,CD8,pos,0.394702857532226,AB.D,0.345506490064308
CD7,CTV1,CD8,pos,0.445965423300218,AB.D,0.358798273727543
CD72,CTV1,CD8,pos,-1.7910083422992,AB.D,2.58076422640228e-08
CD96,CTV1,CD8,pos,-0.305821856616071,AB.D,0.203710577992103
CRACC,CTV1,CD8,pos,0.0994639014279662,AB.D,0.865707403502302
CRTAM,CTV1,CD8,pos,0.2920559182704,AB.D,0.378960239868918
CTLA4,CTV1,CD8,pos,0.243596390306503,AB.D,0.591356880823753
CXADR,CTV1,CD8,pos,0.45938110497979,AB.D,0.14872074849303
