# Differentiation Arrayed Data: Fig S4H
Domain Name,Measurement Day,Differentiation Status,Donor Name,T Cell Type,K562 Condition,MFI Measurement mean,MFI Measurement standard deviation
CD28,15,TEM,1,cd4,cd19+,0.217266666666667,0.106962547962671
CD28,15,TEMRA,1,cd4,cd19+,0.0998666666666667,0.0234301230612788
CD40,15,Naive,1,cd4,cd19+,0.169933333333333,0.0390473900109427
CD40,15,TCM,1,cd4,cd19+,0.290466666666667,0.0260380234784952
CD40,15,TEM,1,cd4,cd19+,0.415333333333333,0.0752441005439408
CD40,15,TEMRA,1,cd4,cd19+,0.124266666666667,0.0490959333006988
KLRG1,15,Naive,1,cd4,cd19+,0.397066666666667,0.109620046828428
KLRG1,15,TCM,1,cd4,cd19+,0.2562,0.0234643559468399
KLRG1,15,TEM,1,cd4,cd19+,0.255133333333333,0.11417163687478
KLRG1,15,TEMRA,1,cd4,cd19+,0.0916,0.0269660527330197
TACI,15,Naive,1,cd4,cd19+,0.2844,0.158243761330423
TACI,15,TCM,1,cd4,cd19+,0.250666666666667,0.0682506752103352
TACI,15,TEM,1,cd4,cd19+,0.33,0.128358996568219
TACI,15,TEMRA,1,cd4,cd19+,0.134933333333333,0.038389720846428
TNR8,15,Naive,1,cd4,cd19+,0.107266666666667,0.0364008058518856
TNR8,15,TCM,1,cd4,cd19+,0.201866666666667,0.0231401526932444
TNR8,15,TEM,1,cd4,cd19+,0.5382,0.0681939586767039
TNR8,15,TEMRA,1,cd4,cd19+,0.152666666666667,0.0475085957134777
zeta,15,Naive,1,cd4,cd19+,0.39296,0.247549364773978
zeta,15,TCM,1,cd4,cd19+,0.24256,0.0563912049880121
zeta,15,TEM,1,cd4,cd19+,0.2556,0.168531540074848
zeta,15,TEMRA,1,cd4,cd19+,0.10888,0.024343212606392
41BB,15,Naive,1,cd8,cd19+,0.393,0.00254558441227157
41BB,15,TCM,1,cd8,cd19+,0.2254,0.000848528137423862
41BB,15,TEM,1,cd8,cd19+,0.1532,0.00395979797464466
41BB,15,TEMRA,1,cd8,cd19+,0.2284,0.00565685424949239
BAFF-R,15,Naive,1,cd8,cd19+,0.208666666666667,0.0330050501186308
BAFF-R,15,TCM,1,cd8,cd19+,0.1904,0.025288732668918
BAFF-R,15,TEM,1,cd8,cd19+,0.2708,0.0604
BAFF-R,15,TEMRA,1,cd8,cd19+,0.330133333333333,0.0509907181096063
CD28,15,Naive,1,cd8,cd19+,0.180933333333333,0.0271479894897087
CD28,15,TCM,1,cd8,cd19+,0.332133333333333,0.0471836129745628
CD28,15,TEM,1,cd8,cd19+,0.307466666666667,0.0238975591501168
