# Interbin volcano data: Fig S2A
Domain Name,Sort Assay Name,T Cell Type,K562 Condition,Sorted Cell Group,"Log2 Fold Change, Domain Mean",P value after multiple hypothesis correction
Siglec-3,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,0.0744579207579058,0.893233020935405
TACI,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,1.65419204378943,0.000518215807931729
TIGIT,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,0.045187498903701,0.935921488071109
TLT-1,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,0.732838214070402,0.14105669047506
CD30,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,1.24580579922057,0.0445255198307841
4-1BB,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,0.211638664770882,0.371849748183397
4-1BB,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,1.3169530598372,0.00115391295494877
4-1BB,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,0.379534268367744,0.17521154738672
4-1BB,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,1.31399836598999,0.0540456405891293
4-1BB,"Relative Expansion
(d0-d16)",CD8,pos,CTV2_CD8_pos,0.57759187041129,0.26900557512953
4-1BB,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,0.170255337677225,0.813964949908086
CD28,"Initial Proliferation
(d0-d3/d4)",CD4,pos,CTV1_CD4_pos,0.532546593620928,0.0145587087338244
CD28,"Initial Proliferation
(d0-d3/d4)",CD8,pos,CTV1_CD8_pos,1.84072776157707,1.66737614291669e-05
CD28,"Relative Expansion
(d0-d16)",CD4,pos,CTV2_CD4_pos,0.178642675386744,0.732006134715694
CD28,"Relative Expansion,
(d0-d24)",CD4,pos,CTV3_CD4_pos,0.111921451017229,0.855534621984741
CD28,"Relative Expansion
(d0-d16)",CD8,pos,CTV2_CD8_pos,0.175891518907816,0.733872956453847
CD28,"Relative Expansion,
(d0-d24)",CD8,pos,CTV3_CD8_pos,-0.01491511445848,0.959739396387251
