# CTV arrayed data: Fig 4B
Domain Name,Measurement Day,Measured Cytokine,Donor Number,T Cell Type,K562 Condition,Mean percentage of Cytokine-positive cells,Stdev. of percentage of Cytokine-positive cells,Between-donor mean percentage of Cytokine-positive cells
CD40,18,IL2,2,CD4,-,0.973333333333333,0.0450924975282289,0.733333333333333
KLRG1,18,IL2,1,CD4,+,0.91,0.0346410161513776,0.9
KLRG1,18,IL2,1,CD4,-,1.10666666666667,0.10785793124909,0.878333333333334
KLRG1,18,IL2,2,CD4,+,0.89,0.13228756555323,0.9
KLRG1,18,IL2,2,CD4,-,0.65,0.0556776436283002,0.878333333333334
TACI,18,IL2,1,CD4,+,0.286666666666667,0.0585946527708232,0.266666666666667
TACI,18,IL2,1,CD4,-,0.726666666666667,0.0351188458428425,0.826666666666667
TACI,18,IL2,2,CD4,+,0.246666666666667,0.0577350269189626,0.266666666666667
TACI,18,IL2,2,CD4,-,0.926666666666667,0.0503322295684717,0.826666666666667
TNR8,18,IL2,1,CD4,+,0.343333333333333,0.0152752523165195,0.601666666666667
TNR8,18,IL2,1,CD4,-,0.606666666666667,0.0568624070307733,0.665
TNR8,18,IL2,2,CD4,+,0.86,0.149331845230681,0.601666666666667
TNR8,18,IL2,2,CD4,-,0.723333333333333,0.0321455025366432,0.665
Zeta,18,IL2,1,CD4,+,0.26,0.0360555127546399,0.248333333333333
Zeta,18,IL2,1,CD4,-,0.966666666666667,0.0503322295684717,0.87
Zeta,18,IL2,2,CD4,+,0.236666666666667,0.0568624070307733,0.248333333333333
Zeta,18,IL2,2,CD4,-,0.773333333333333,0.0251661147842359,0.87
41BB,18,TNFa,1,CD4,+,0.246666666666667,0.0321455025366432,0.4
41BB,18,TNFa,1,CD4,-,1.76666666666667,0.113724814061547,1.57333333333333
41BB,18,TNFa,2,CD4,+,0.553333333333333,0.118462370959446,0.4
41BB,18,TNFa,2,CD4,-,1.38,0.0519615242270662,1.57333333333333
BAFFR,18,TNFa,1,CD4,+,0.886666666666667,0.0404145188432738,0.806666666666667
BAFFR,18,TNFa,1,CD4,-,1.57,0.19,1.39833333333333
BAFFR,18,TNFa,2,CD4,+,0.726666666666667,0.089628864398325,0.806666666666667
BAFFR,18,TNFa,2,CD4,-,1.22666666666667,0.07371114795832,1.39833333333333
CD28,18,TNFa,1,CD4,+,0.443333333333333,0.181750745069541,0.443333333333333
CD28,18,TNFa,1,CD4,-,0.756666666666667,0.0472581562625261,0.776666666666667
CD28,18,TNFa,2,CD4,+,0.443333333333333,0.0152752523165195,0.443333333333333
CD28,18,TNFa,2,CD4,-,0.796666666666667,0.0776745346515403,0.776666666666667
CD40,18,TNFa,1,CD4,+,0.336666666666667,0.0416333199893227,0.386666666666667
CD40,18,TNFa,1,CD4,-,0.673333333333333,0.00577350269189626,1.065
CD40,18,TNFa,2,CD4,+,0.436666666666667,0.0115470053837925,0.386666666666667
CD40,18,TNFa,2,CD4,-,1.45666666666667,0.126622799421484,1.065
KLRG1,18,TNFa,1,CD4,+,1.44666666666667,0.0404145188432738,1.44333333333333
KLRG1,18,TNFa,1,CD4,-,1.51666666666667,0.0757187779440037,1.29333333333333
KLRG1,18,TNFa,2,CD4,+,1.44,0.153948043183407,1.44333333333333
KLRG1,18,TNFa,2,CD4,-,1.07,0.0435889894354068,1.29333333333333
TACI,18,TNFa,1,CD4,+,0.853333333333333,0.0404145188432738,0.995
TACI,18,TNFa,1,CD4,-,1.22333333333333,0.0960902353693305,1.39333333333333
TACI,18,TNFa,2,CD4,+,1.13666666666667,0.0450924975282289,0.995
TACI,18,TNFa,2,CD4,-,1.56333333333333,0.105987420637231,1.39333333333333
TNR8,18,TNFa,1,CD4,+,0.45,0.02,1.16666666666667
TNR8,18,TNFa,1,CD4,-,0.913333333333333,0.0850490054811538,0.771666666666667
TNR8,18,TNFa,2,CD4,+,1.88333333333333,0.181475434517549,1.16666666666667
TNR8,18,TNFa,2,CD4,-,0.63,0.101488915650922,0.771666666666667
Zeta,18,TNFa,1,CD4,+,0.983333333333333,0.187705443004014,1.00333333333333
Zeta,18,TNFa,1,CD4,-,1.43333333333333,0.31374086972107,1.27166666666667
Zeta,18,TNFa,2,CD4,+,1.02333333333333,0.0513160143944689,1.00333333333333
Zeta,18,TNFa,2,CD4,-,1.11,0.0264575131106458,1.27166666666667
41BB,27,IFNg,1,CD4,+,0.556666666666667,0.0404145188432738,0.973333333333333
41BB,27,IFNg,1,CD4,-,0.963333333333333,0.0493288286231625,1.725
41BB,27,IFNg,2,CD4,+,1.39,0.0721110255092797,0.973333333333333
41BB,27,IFNg,2,CD4,-,2.48666666666667,0.327159492195066,1.725
BAFFR,27,IFNg,1,CD4,+,,,1.97666666666667
BAFFR,27,IFNg,1,CD4,-,2.03333333333333,0.0832666399786454,1.975
BAFFR,27,IFNg,2,CD4,+,1.97666666666667,0.273191019862171,1.97666666666667
BAFFR,27,IFNg,2,CD4,-,1.91666666666667,0.102632028788938,1.975
CD28,27,IFNg,1,CD4,+,,,3.11
CD28,27,IFNg,1,CD4,-,1.69,0.205182845286832,1.88333333333333
CD28,27,IFNg,2,CD4,+,3.11,0.225388553391693,3.11
CD28,27,IFNg,2,CD4,-,2.07666666666667,0.142243921955679,1.88333333333333
CD40,27,IFNg,1,CD4,+,0.416666666666667,0.0602771377334171,0.828333333333333
CD40,27,IFNg,1,CD4,-,1.42,0.104403065089105,1.755
CD40,27,IFNg,2,CD4,+,1.24,0.0556776436283003,0.828333333333333
CD40,27,IFNg,2,CD4,-,2.09,0.270739727413618,1.755
KLRG1,27,IFNg,1,CD4,+,5.03,0.376430604494374,4.59666666666667
KLRG1,27,IFNg,1,CD4,-,9,0.137477270848675,6.28666666666667
KLRG1,27,IFNg,2,CD4,+,4.16333333333333,0.136503968196289,4.59666666666667
KLRG1,27,IFNg,2,CD4,-,3.57333333333333,0.0351188458428424,6.28666666666667
TACI,27,IFNg,1,CD4,+,1.73333333333333,0.0461880215351701,1.82666666666667
TACI,27,IFNg,1,CD4,-,3.26,0.0871779788708133,3.65166666666667
TACI,27,IFNg,2,CD4,+,1.92,0.153948043183406,1.82666666666667
TACI,27,IFNg,2,CD4,-,4.04333333333333,0.105039675043925,3.65166666666667
TNR8,27,IFNg,1,CD4,+,0.76,0.115325625946708,2.29666666666667
TNR8,27,IFNg,1,CD4,-,1.83333333333333,0.0850490054811538,1.805
TNR8,27,IFNg,2,CD4,+,3.83333333333333,0.0513160143944689,2.29666666666667
TNR8,27,IFNg,2,CD4,-,1.77666666666667,0.195021366350801,1.805
Zeta,27,IFNg,1,CD4,+,1.56333333333333,0.279702222610642,1.16666666666667
Zeta,27,IFNg,1,CD4,-,5.95,0.15556349186104,4.25
Zeta,27,IFNg,2,CD4,+,0.77,0.04,1.16666666666667
Zeta,27,IFNg,2,CD4,-,2.55,0.206639783197718,4.25
41BB,27,IL2,1,CD4,+,0.123333333333333,0.00577350269189626,0.296666666666667
41BB,27,IL2,1,CD4,-,0.216666666666667,0.0251661147842358,0.916666666666667
41BB,27,IL2,2,CD4,+,0.47,0.0458257569495584,0.296666666666667
41BB,27,IL2,2,CD4,-,1.61666666666667,0.089628864398325,0.916666666666667
BAFFR,27,IL2,1,CD4,+,,,0.63
BAFFR,27,IL2,1,CD4,-,0.696666666666667,0.0585946527708231,0.9
BAFFR,27,IL2,2,CD4,+,0.63,0.02,0.63
BAFFR,27,IL2,2,CD4,-,1.10333333333333,0.0709459888459758,0.9
CD28,27,IL2,1,CD4,+,,,0.21
CD28,27,IL2,1,CD4,-,0.543333333333333,0.055075705472861,0.525
CD28,27,IL2,2,CD4,+,0.21,0.0556776436283002,0.21
CD28,27,IL2,2,CD4,-,0.506666666666667,0.0945163125250521,0.525
CD40,27,IL2,1,CD4,+,0.11,0.0435889894354067,0.401666666666667
CD40,27,IL2,1,CD4,-,0.796666666666667,0.0945163125250522,1.2
CD40,27,IL2,2,CD4,+,0.693333333333333,0.023094010767585,0.401666666666667
CD40,27,IL2,2,CD4,-,1.60333333333333,0.315330514434194,1.2
KLRG1,27,IL2,1,CD4,+,1.52333333333333,0.245831920899897,1.88
KLRG1,27,IL2,1,CD4,-,2.71333333333333,0.126622799421484,2.38
KLRG1,27,IL2,2,CD4,+,2.23666666666667,0.237135685491099,1.88
KLRG1,27,IL2,2,CD4,-,2.04666666666667,0.0585946527708231,2.38
TACI,27,IL2,1,CD4,+,0.253333333333333,0.0665832811847939,0.198166666666667
TACI,27,IL2,1,CD4,-,1.07666666666667,0.0709459888459758,1.56
TACI,27,IL2,2,CD4,+,0.143,0.0467653718043597,0.198166666666667
TACI,27,IL2,2,CD4,-,2.04333333333333,0.0493288286231626,1.56
TNR8,27,IL2,1,CD4,+,0.31,0.0264575131106459,0.728333333333333
TNR8,27,IL2,1,CD4,-,0.366666666666667,0.0208166599946613,0.785
TNR8,27,IL2,2,CD4,+,1.14666666666667,0.106926766215636,0.728333333333333
TNR8,27,IL2,2,CD4,-,1.20333333333333,0.115902257671425,0.785
Zeta,27,IL2,1,CD4,+,0.363333333333333,0.0585946527708231,0.295
Zeta,27,IL2,1,CD4,-,1.6,0.014142135623731,1.39
Zeta,27,IL2,2,CD4,+,0.226666666666667,0.0288675134594813,0.295
Zeta,27,IL2,2,CD4,-,1.18,0.134536240470737,1.39
41BB,27,TNFa,1,CD4,+,0.42,0.07,1.64666666666667
41BB,27,TNFa,1,CD4,-,0.763333333333333,0.0404145188432738,1.87166666666667
41BB,27,TNFa,2,CD4,+,2.87333333333333,0.119303534454488,1.64666666666667
41BB,27,TNFa,2,CD4,-,2.98,0.149331845230681,1.87166666666667
BAFFR,27,TNFa,1,CD4,+,,,3.64333333333333
BAFFR,27,TNFa,1,CD4,-,1.58,0.195192212959431,3.94166666666667
BAFFR,27,TNFa,2,CD4,+,3.64333333333333,0.465223960403302,3.64333333333333
BAFFR,27,TNFa,2,CD4,-,6.30333333333333,0.265015722804013,3.94166666666667
CD28,27,TNFa,1,CD4,+,,,11.7666666666667
CD28,27,TNFa,1,CD4,-,0.89,0.0435889894354067,3.67166666666667
CD28,27,TNFa,2,CD4,+,11.7666666666667,0.0577350269189634,11.7666666666667
CD28,27,TNFa,2,CD4,-,6.45333333333333,0.38527046776691,3.67166666666667
CD40,27,TNFa,1,CD4,+,0.243333333333333,0.0251661147842358,1.19
CD40,27,TNFa,1,CD4,-,0.856666666666667,0.116761865920913,2.41666666666667
CD40,27,TNFa,2,CD4,+,2.13666666666667,0.023094010767585,1.19
CD40,27,TNFa,2,CD4,-,3.97666666666667,0.225018517756502,2.41666666666667
KLRG1,27,TNFa,1,CD4,+,2.66333333333333,0.520416499866533,3.93
KLRG1,27,TNFa,1,CD4,-,4.52666666666667,0.111504857891185,4.205
KLRG1,27,TNFa,2,CD4,+,5.19666666666667,0.297377425729213,3.93
KLRG1,27,TNFa,2,CD4,-,3.88333333333333,0.14742229591664,4.205
TACI,27,TNFa,1,CD4,+,1.00333333333333,0.0568624070307733,2.17333333333333
TACI,27,TNFa,1,CD4,-,1.51333333333333,0.045092497528229,2.785
TACI,27,TNFa,2,CD4,+,3.34333333333333,0.204042479237372,2.17333333333333
TACI,27,TNFa,2,CD4,-,4.05666666666667,0.0814452781524711,2.785
TNR8,27,TNFa,1,CD4,+,0.393333333333333,0.0115470053837925,1.30333333333333
TNR8,27,TNFa,1,CD4,-,0.743333333333333,0.0737111479583199,1.38
TNR8,27,TNFa,2,CD4,+,2.21333333333333,0.023094010767585,1.30333333333333
TNR8,27,TNFa,2,CD4,-,2.01666666666667,0.0550757054728611,1.38
Zeta,27,TNFa,1,CD4,+,1.17666666666667,0.255408170059874,1.65666666666667
Zeta,27,TNFa,1,CD4,-,2.23,0.113137084989848,2.51833333333333
Zeta,27,TNFa,2,CD4,+,2.13666666666667,0.215019378971602,1.65666666666667
Zeta,27,TNFa,2,CD4,-,2.80666666666667,0.405010287935175,2.51833333333333
