# CTV arrayed data: Fig 4B
Domain Name,Measurement Day,Measured Cytokine,Donor Number,T Cell Type,K562 Condition,Mean percentage of Cytokine-positive cells,Stdev. of percentage of Cytokine-positive cells,Between-donor mean percentage of Cytokine-positive cells
41BB,1,TNFa,2,CD4,+,5.45333333333333,0.388501394248892,3.18166666666667
41BB,1,TNFa,2,CD4,-,0.883333333333333,0.376342043005207,0.52
BAFFR,1,TNFa,1,CD4,+,1,0.298161030317512,2.82
BAFFR,1,TNFa,1,CD4,-,0.243333333333333,0.0416333199893226,0.705
BAFFR,1,TNFa,2,CD4,+,4.64,0.0900000000000003,2.82
BAFFR,1,TNFa,2,CD4,-,1.16666666666667,0.0838649708360608,0.705
CD28,1,TNFa,1,CD4,+,1.78,0.311929479209644,2.355
CD28,1,TNFa,1,CD4,-,0.063,0.014,0.123166666666667
CD28,1,TNFa,2,CD4,+,2.93,0.409267638593622,2.355
CD28,1,TNFa,2,CD4,-,0.183333333333333,0.0642910050732864,0.123166666666667
CD40,1,TNFa,1,CD4,+,1.43666666666667,0.00577350269189626,3.255
CD40,1,TNFa,1,CD4,-,0.246666666666667,0.0404145188432738,0.798333333333333
CD40,1,TNFa,2,CD4,+,5.07333333333333,0.14571661996263,3.255
CD40,1,TNFa,2,CD4,-,1.35,0.09,0.798333333333333
KLRG1,1,TNFa,1,CD4,+,0.0896666666666667,0.00251661147842359,0.122833333333333
KLRG1,1,TNFa,1,CD4,-,0.081,0.0365102725270574,0.0958333333333333
KLRG1,1,TNFa,2,CD4,+,0.156,0.0561070405564222,0.122833333333333
KLRG1,1,TNFa,2,CD4,-,0.110666666666667,0.0721410655128778,0.0958333333333333
TACI,1,TNFa,1,CD4,+,1.04,0.39585350825779,2
TACI,1,TNFa,1,CD4,-,0.053,0.0487749935930288,0.119833333333333
TACI,1,TNFa,2,CD4,+,2.96,0.115325625946708,2
TACI,1,TNFa,2,CD4,-,0.186666666666667,0.0321455025366432,0.119833333333333
TNR8,1,TNFa,1,CD4,+,3.03333333333333,0.400541300409001,8.13333333333333
TNR8,1,TNFa,1,CD4,-,0.433333333333333,0.0709459888459759,4.00333333333333
TNR8,1,TNFa,2,CD4,+,13.2333333333333,1.86100331362771,8.13333333333333
TNR8,1,TNFa,2,CD4,-,7.57333333333333,0.505206228517953,4.00333333333333
Zeta,1,TNFa,1,CD4,+,0.56,0.252388589282479,0.99
Zeta,1,TNFa,1,CD4,-,0.053,0.00264575131106459,0.0865
Zeta,1,TNFa,2,CD4,+,1.42,0.0854400374531753,0.99
Zeta,1,TNFa,2,CD4,-,0.12,0.0173205080756888,0.0865
41BB,4,IFNg,1,CD4,+,17.7,1.17898261225516,20.5833333333333
41BB,4,IFNg,1,CD4,-,1.43666666666667,0.194250697124446,1.85833333333333
41BB,4,IFNg,2,CD4,+,23.4666666666667,0.550757054728611,20.5833333333333
41BB,4,IFNg,2,CD4,-,2.28,0.0529150262212916,1.85833333333333
BAFFR,4,IFNg,1,CD4,+,14.4333333333333,0.907377172587747,13.1833333333333
BAFFR,4,IFNg,1,CD4,-,1.18333333333333,0.0642910050732863,1.18166666666667
BAFFR,4,IFNg,2,CD4,+,11.9333333333333,0.723417813807024,13.1833333333333
BAFFR,4,IFNg,2,CD4,-,1.18,0.112694276695846,1.18166666666667
CD28,4,IFNg,1,CD4,+,33.6333333333333,4.02533642486356,33.0333333333333
CD28,4,IFNg,1,CD4,-,0.736666666666667,0.151767365837763,0.578333333333333
CD28,4,IFNg,2,CD4,+,32.4333333333333,1.00166528008778,33.0333333333333
CD28,4,IFNg,2,CD4,-,0.42,0.06557438524302,0.578333333333333
CD40,4,IFNg,1,CD4,+,6.32333333333333,0.77693843599949,5.515
CD40,4,IFNg,1,CD4,-,1.94,0.190525588832576,1.71666666666667
CD40,4,IFNg,2,CD4,+,4.70666666666667,0.447697814751572,5.515
CD40,4,IFNg,2,CD4,-,1.49333333333333,0.0208166599946613,1.71666666666667
KLRG1,4,IFNg,1,CD4,+,1.02666666666667,0.118462370959446,0.818333333333333
KLRG1,4,IFNg,1,CD4,-,0.92,0.06,0.581666666666667
KLRG1,4,IFNg,2,CD4,+,0.61,0,0.818333333333333
KLRG1,4,IFNg,2,CD4,-,0.243333333333333,0.0808290376865476,0.581666666666667
TACI,4,IFNg,1,CD4,+,14.4333333333333,1.27410099024109,14.75
TACI,4,IFNg,1,CD4,-,0.63,0.0264575131106459,0.498333333333333
TACI,4,IFNg,2,CD4,+,15.0666666666667,1.70098010962308,14.75
TACI,4,IFNg,2,CD4,-,0.366666666666667,0.0404145188432738,0.498333333333333
TNR8,4,IFNg,1,CD4,+,15,1.113552872566,12.0733333333333
TNR8,4,IFNg,1,CD4,-,3.14666666666667,0.306648550189518,3.84166666666667
TNR8,4,IFNg,2,CD4,+,9.14666666666667,0.502128801537348,12.0733333333333
TNR8,4,IFNg,2,CD4,-,4.53666666666667,0.376342043005207,3.84166666666667
Zeta,4,IFNg,1,CD4,+,6.35,0.320468407179242,5.65166666666667
Zeta,4,IFNg,1,CD4,-,0.546666666666667,0.0971253485622231,0.365
Zeta,4,IFNg,2,CD4,+,4.95333333333333,1.59155060658885,5.65166666666667
Zeta,4,IFNg,2,CD4,-,0.183333333333333,0.0577350269189626,0.365
41BB,4,IL2,1,CD4,+,20.7333333333333,1.20554275466834,29.2
41BB,4,IL2,1,CD4,-,2.17333333333333,0.295691280448601,2.9
41BB,4,IL2,2,CD4,+,37.6666666666667,0.802080627701065,29.2
41BB,4,IL2,2,CD4,-,3.62666666666667,0.415010040039194,2.9
BAFFR,4,IL2,1,CD4,+,9.63333333333333,0.585946527708232,14.2166666666667
BAFFR,4,IL2,1,CD4,-,1.28,0.2343074902772,1.17166666666667
BAFFR,4,IL2,2,CD4,+,18.8,1.1,14.2166666666667
BAFFR,4,IL2,2,CD4,-,1.06333333333333,0.0416333199893227,1.17166666666667
CD28,4,IL2,1,CD4,+,32.5,21.910956163527,30.4166666666667
CD28,4,IL2,1,CD4,-,0.616666666666667,0.451700490738424,0.411666666666667
CD28,4,IL2,2,CD4,+,28.3333333333333,1.06926766215636,30.4166666666667
CD28,4,IL2,2,CD4,-,0.206666666666667,0.0568624070307733,0.411666666666667
CD40,4,IL2,1,CD4,+,2.89333333333333,0.370720020140986,2.59333333333333
CD40,4,IL2,1,CD4,-,0.643333333333333,0.0585946527708231,0.926666666666667
CD40,4,IL2,2,CD4,+,2.29333333333333,0.219620885467055,2.59333333333333
CD40,4,IL2,2,CD4,-,1.21,0.135277492584687,0.926666666666667
KLRG1,4,IL2,1,CD4,+,0.186666666666667,0.0251661147842358,0.178333333333333
KLRG1,4,IL2,1,CD4,-,0.17,0.0360555127546399,0.188333333333333
KLRG1,4,IL2,2,CD4,+,0.17,0.0264575131106459,0.178333333333333
KLRG1,4,IL2,2,CD4,-,0.206666666666667,0.0750555349946514,0.188333333333333
TACI,4,IL2,1,CD4,+,3.17333333333333,0.167431578064992,5.265
TACI,4,IL2,1,CD4,-,0.143333333333333,0.023094010767585,0.151666666666667
TACI,4,IL2,2,CD4,+,7.35666666666667,1.4263356313762,5.265
TACI,4,IL2,2,CD4,-,0.16,0.03,0.151666666666667
TNR8,4,IL2,1,CD4,+,1.36333333333333,0.0493288286231624,1.76166666666667
TNR8,4,IL2,1,CD4,-,1.05666666666667,0.100166528008778,2.415
TNR8,4,IL2,2,CD4,+,2.16,1.46734454031764,1.76166666666667
TNR8,4,IL2,2,CD4,-,3.77333333333333,0.196553639837408,2.415
Zeta,4,IL2,1,CD4,+,1.26666666666667,0.319739477283199,1.59166666666667
Zeta,4,IL2,1,CD4,-,0.17,0.0360555127546399,0.132666666666667
Zeta,4,IL2,2,CD4,+,1.91666666666667,0.185022521151705,1.59166666666667
Zeta,4,IL2,2,CD4,-,0.0953333333333333,0.0128582010146573,0.132666666666667
41BB,4,TNFa,1,CD4,+,5.92,0.101488915650922,17.6433333333333
41BB,4,TNFa,1,CD4,-,0.57,0.0529150262212918,1.41
41BB,4,TNFa,2,CD4,+,29.3666666666667,0.404145188432738,17.6433333333333
41BB,4,TNFa,2,CD4,-,2.25,0.0264575131106458,1.41
BAFFR,4,TNFa,1,CD4,+,25.1333333333333,0.680685928555404,25.4833333333333
BAFFR,4,TNFa,1,CD4,-,1.23,0.147309198626562,1.46333333333333
BAFFR,4,TNFa,2,CD4,+,25.8333333333333,1.45028732785381,25.4833333333333
BAFFR,4,TNFa,2,CD4,-,1.69666666666667,0.106926766215636,1.46333333333333
CD28,4,TNFa,1,CD4,+,7.79666666666667,0.16653327995729,23.565
CD28,4,TNFa,1,CD4,-,0.293333333333333,0.0602771377334171,0.32
CD28,4,TNFa,2,CD4,+,39.3333333333333,2.95691280448601,23.565
CD28,4,TNFa,2,CD4,-,0.346666666666667,0.0115470053837925,0.32
CD40,4,TNFa,1,CD4,+,2.31,1.0866922287382,8.57166666666667
CD40,4,TNFa,1,CD4,-,0.716666666666667,0.210792156716832,1.10666666666667
CD40,4,TNFa,2,CD4,+,14.8333333333333,1.00166528008778,8.57166666666667
CD40,4,TNFa,2,CD4,-,1.49666666666667,0.342101349505279,1.10666666666667
KLRG1,4,TNFa,1,CD4,+,0.533333333333333,0.0642910050732864,0.855
KLRG1,4,TNFa,1,CD4,-,0.406666666666667,0.0808290376865476,0.34
KLRG1,4,TNFa,2,CD4,+,1.17666666666667,0.0472581562625261,0.855
KLRG1,4,TNFa,2,CD4,-,0.273333333333333,0.055075705472861,0.34
TACI,4,TNFa,1,CD4,+,20.4333333333333,1.00166528008778,26.7333333333333
TACI,4,TNFa,1,CD4,-,0.58,0.0754983443527075,0.605
TACI,4,TNFa,2,CD4,+,33.0333333333333,0.945163125250523,26.7333333333333
TACI,4,TNFa,2,CD4,-,0.63,0.276224546338663,0.605
TNR8,4,TNFa,1,CD4,+,9.95,0.522015325445528,12.675
TNR8,4,TNFa,1,CD4,-,1.92666666666667,0.203059925473574,5.21833333333333
TNR8,4,TNFa,2,CD4,+,15.4,0,12.675
TNR8,4,TNFa,2,CD4,-,8.51,1.21540116833908,5.21833333333333
Zeta,4,TNFa,1,CD4,+,15.5666666666667,0.945163125250522,16.2333333333333
Zeta,4,TNFa,1,CD4,-,0.41,0.0556776436283002,0.406666666666667
Zeta,4,TNFa,2,CD4,+,16.9,3.37786915081091,16.2333333333333
Zeta,4,TNFa,2,CD4,-,0.403333333333333,0.0568624070307733,0.406666666666667
41BB,10,IFNg,1,CD4,+,4.88,0.357631094844953,7.17666666666667
41BB,10,IFNg,1,CD4,-,2.44,0.0916515138991169,3.31333333333333
41BB,10,IFNg,2,CD4,+,9.47333333333333,0.666658333281249,7.17666666666667
41BB,10,IFNg,2,CD4,-,4.18666666666667,0.0709459888459757,3.31333333333333
BAFFR,10,IFNg,1,CD4,+,14,0.300000000000001,8.44666666666667
BAFFR,10,IFNg,1,CD4,-,2.72,0.20952326839757,2.72166666666667
BAFFR,10,IFNg,2,CD4,+,2.89333333333333,0.266895734947813,8.44666666666667
BAFFR,10,IFNg,2,CD4,-,2.72333333333333,0.237135685491099,2.72166666666667
CD28,10,IFNg,1,CD4,+,4.14666666666667,0.416693332480055,6.82583333333333
CD28,10,IFNg,1,CD4,-,1.74,0.0600000000000001,1.695
CD28,10,IFNg,2,CD4,+,9.505,0.00707106781186533,6.82583333333333
CD28,10,IFNg,2,CD4,-,1.65,0.0556776436283002,1.695
CD40,10,IFNg,1,CD4,+,3.31,0.407798970082074,3.97333333333333
CD40,10,IFNg,1,CD4,-,2.65333333333333,0.127410099024109,2.53833333333333
CD40,10,IFNg,2,CD4,+,4.63666666666667,0.419563264995082,3.97333333333333
CD40,10,IFNg,2,CD4,-,2.42333333333333,0.100166528008778,2.53833333333333
KLRG1,10,IFNg,1,CD4,+,3.15,0.04,3.02
KLRG1,10,IFNg,1,CD4,-,3.82,0.0999999999999999,2.62833333333333
KLRG1,10,IFNg,2,CD4,+,2.89,0.0964365076099296,3.02
KLRG1,10,IFNg,2,CD4,-,1.43666666666667,0.145716619962629,2.62833333333333
TACI,10,IFNg,1,CD4,+,5.42666666666667,0.0208166599946614,4.675
TACI,10,IFNg,1,CD4,-,2.65,0.0435889894354068,2.37166666666667
TACI,10,IFNg,2,CD4,+,3.92333333333333,0.225018517756502,4.675
TACI,10,IFNg,2,CD4,-,2.09333333333333,0.162890556304941,2.37166666666667
TNR8,10,IFNg,1,CD4,+,10.17,0.697638875063596,9.47333333333333
TNR8,10,IFNg,1,CD4,-,2.81333333333333,0.100664459136943,3.73
TNR8,10,IFNg,2,CD4,+,8.77666666666667,0.140475383371369,9.47333333333333
TNR8,10,IFNg,2,CD4,-,4.64666666666667,0.306648550189518,3.73
Zeta,10,IFNg,1,CD4,+,6.01333333333333,0.4366157731156,4.48166666666667
Zeta,10,IFNg,1,CD4,-,2.87666666666667,0.122202018532156,2.765
Zeta,10,IFNg,2,CD4,+,2.95,0.04,4.48166666666667
Zeta,10,IFNg,2,CD4,-,2.65333333333333,0.100664459136943,2.765
41BB,10,IL2,1,CD4,+,0.36,0.0458257569495584,0.645
41BB,10,IL2,1,CD4,-,0.52,0.0458257569495584,0.591666666666667
41BB,10,IL2,2,CD4,+,0.93,0.0435889894354067,0.645
41BB,10,IL2,2,CD4,-,0.663333333333333,0.023094010767585,0.591666666666667
BAFFR,10,IL2,1,CD4,+,2.37333333333333,0.142243921955679,1.32833333333333
BAFFR,10,IL2,1,CD4,-,0.733333333333333,0.105987420637231,1.035
BAFFR,10,IL2,2,CD4,+,0.283333333333333,0.0115470053837925,1.32833333333333
BAFFR,10,IL2,2,CD4,-,1.33666666666667,0.118462370959446,1.035
CD28,10,IL2,1,CD4,+,0.31,0.0173205080756888,0.9
CD28,10,IL2,1,CD4,-,0.92,0.0360555127546399,0.88
CD28,10,IL2,2,CD4,+,1.49,0.744781847254617,0.9
CD28,10,IL2,2,CD4,-,0.84,0.0964365076099295,0.88
CD40,10,IL2,1,CD4,+,0.296666666666667,0.0152752523165195,0.298333333333333
CD40,10,IL2,1,CD4,-,0.4,0.0264575131106459,0.865
CD40,10,IL2,2,CD4,+,0.3,0.0360555127546399,0.298333333333333
CD40,10,IL2,2,CD4,-,1.33,0.06557438524302,0.865
KLRG1,10,IL2,1,CD4,+,0.89,0.01,0.878333333333334
KLRG1,10,IL2,1,CD4,-,0.86,0.0529150262212919,0.835
KLRG1,10,IL2,2,CD4,+,0.866666666666667,0.045092497528229,0.878333333333334
KLRG1,10,IL2,2,CD4,-,0.81,0.101488915650922,0.835
TACI,10,IL2,1,CD4,+,0.566666666666667,0.0305505046330389,0.531666666666667
TACI,10,IL2,1,CD4,-,0.53,0.03,0.691666666666667
TACI,10,IL2,2,CD4,+,0.496666666666667,0.0503322295684717,0.531666666666667
TACI,10,IL2,2,CD4,-,0.853333333333333,0.00577350269189626,0.691666666666667
TNR8,10,IL2,1,CD4,+,1.08666666666667,0.153079500042734,0.868333333333333
TNR8,10,IL2,1,CD4,-,1.26666666666667,0.115902257671425,1.835
TNR8,10,IL2,2,CD4,+,0.65,0.06557438524302,0.868333333333333
TNR8,10,IL2,2,CD4,-,2.40333333333333,0.138684293751431,1.835
Zeta,10,IL2,1,CD4,+,0.93,0.0871779788708135,0.683333333333333
Zeta,10,IL2,1,CD4,-,0.99,0.105356537528527,0.95
Zeta,10,IL2,2,CD4,+,0.436666666666667,0.0152752523165195,0.683333333333333
Zeta,10,IL2,2,CD4,-,0.91,0.0264575131106459,0.95
41BB,10,TNFa,1,CD4,+,0.346666666666667,0.0907377172587747,6.80666666666667
41BB,10,TNFa,1,CD4,-,0.533333333333333,0.0230940107675851,0.916666666666667
41BB,10,TNFa,2,CD4,+,13.2666666666667,0.461880215351701,6.80666666666667
41BB,10,TNFa,2,CD4,-,1.3,0.268514431641951,0.916666666666667
BAFFR,10,TNFa,1,CD4,+,4.24,0.149331845230681,2.81666666666667
BAFFR,10,TNFa,1,CD4,-,1.15,0.0299999999999999,2.075
BAFFR,10,TNFa,2,CD4,+,1.39333333333333,0.236924741918891,2.81666666666667
BAFFR,10,TNFa,2,CD4,-,3,0.45902069670114,2.075
CD28,10,TNFa,1,CD4,+,0.5,0.0953939201416945,9.3
CD28,10,TNFa,1,CD4,-,0.866666666666667,0.0208166599946613,1.16666666666667
CD28,10,TNFa,2,CD4,+,18.1,0.282842712474621,9.3
CD28,10,TNFa,2,CD4,-,1.46666666666667,0.230289672658878,1.16666666666667
CD40,10,TNFa,1,CD4,+,0.343333333333333,0.0585946527708231,1.52166666666667
CD40,10,TNFa,1,CD4,-,0.446666666666667,0.0251661147842358,1.51
CD40,10,TNFa,2,CD4,+,2.7,0.402616442783948,1.52166666666667
CD40,10,TNFa,2,CD4,-,2.57333333333333,0.474376784142451,1.51
KLRG1,10,TNFa,1,CD4,+,0.906666666666667,0.0680685928555405,1.525
KLRG1,10,TNFa,1,CD4,-,1.18333333333333,0.136503968196288,1.09333333333333
KLRG1,10,TNFa,2,CD4,+,2.14333333333333,0.0550757054728612,1.525
KLRG1,10,TNFa,2,CD4,-,1.00333333333333,0.0723417813807024,1.09333333333333
TACI,10,TNFa,1,CD4,+,1.11333333333333,0.0251661147842357,2.20833333333333
TACI,10,TNFa,1,CD4,-,1.19333333333333,0.0585946527708232,1.48
TACI,10,TNFa,2,CD4,+,3.30333333333333,0.153079500042734,2.20833333333333
TACI,10,TNFa,2,CD4,-,1.76666666666667,0.0832666399786454,1.48
TNR8,10,TNFa,1,CD4,+,1.56666666666667,0.00577350269189626,8.78333333333333
TNR8,10,TNFa,1,CD4,-,1.02,0.0655743852430201,3.50333333333333
TNR8,10,TNFa,2,CD4,+,16,0.435889894354068,8.78333333333333
TNR8,10,TNFa,2,CD4,-,5.98666666666667,0.571780843797109,3.50333333333333
Zeta,10,TNFa,1,CD4,+,1.13666666666667,0.102143689640297,1.395
Zeta,10,TNFa,1,CD4,-,1.22666666666667,0.151767365837763,1.96833333333333
Zeta,10,TNFa,2,CD4,+,1.65333333333333,0.100664459136943,1.395
Zeta,10,TNFa,2,CD4,-,2.71,0.311929479209645,1.96833333333333
41BB,18,IFNg,1,CD4,+,0.683333333333333,0.0665832811847939,1.49666666666667
41BB,18,IFNg,1,CD4,-,1.65666666666667,0.0288675134594813,2.37833333333333
41BB,18,IFNg,2,CD4,+,2.31,0.026457513110646,1.49666666666667
41BB,18,IFNg,2,CD4,-,3.1,0.115325625946708,2.37833333333333
BAFFR,18,IFNg,1,CD4,+,1.79333333333333,0.0577350269189626,2.24833333333333
BAFFR,18,IFNg,1,CD4,-,2.59666666666667,0.0808290376865477,3.08166666666667
BAFFR,18,IFNg,2,CD4,+,2.70333333333333,0.106926766215636,2.24833333333333
BAFFR,18,IFNg,2,CD4,-,3.56666666666667,0.232450711621482,3.08166666666667
CD28,18,IFNg,1,CD4,+,1.2,0.13856406460551,1.90666666666667
CD28,18,IFNg,1,CD4,-,2,0.103923048454133,2.38166666666667
CD28,18,IFNg,2,CD4,+,2.61333333333333,0.120138808606267,1.90666666666667
CD28,18,IFNg,2,CD4,-,2.76333333333333,0.17925772879665,2.38166666666667
CD40,18,IFNg,1,CD4,+,0.613333333333333,0.0635085296108588,1.175
CD40,18,IFNg,1,CD4,-,1.42666666666667,0.0642910050732864,2.14666666666667
CD40,18,IFNg,2,CD4,+,1.73666666666667,0.066583281184794,1.175
CD40,18,IFNg,2,CD4,-,2.86666666666667,0.100166528008778,2.14666666666667
KLRG1,18,IFNg,1,CD4,+,3.47333333333333,0.189032625050104,4.44166666666667
KLRG1,18,IFNg,1,CD4,-,4.91666666666667,0.0568624070307734,3.665
