"# Cytokine data: Fig 2B, S2C"
Domain Name,Cytokine Bin,Cytokine Sort Group (IL2/IFNg/both),Donor Name,T Cell Type,K562 Condition,Number of inferred cells for Domain,Sorted Cell Group,Number of CAR-T cells in bin for this domain,Number of CAR-T cells in bin for this domain,"Number of CAR-T cells in bin for this domain, including double positive cells","Log2 Fold Change, Domain Mean","Log2 Fold Change, Domain/Donor Mean","Log2 Fold Change, Domain/Subset Mean","Sort Group (Subset, Cytokine, Donor, Replicate)",Domain Rank within Sort Group
BTLA,ifng,il2.ifng,Donor A,CD4,pos,4371,67_il2.ifng_CD4_pos,57.603158180619,0.0429948632597649,0.0443128981649921,0.459630725949942,0.17324240359354,-0.409643839314241,67_il2.ifng_CD4_pos,7
BTLA,il2,il2.ifng,Donor A,CD8,pos,9574,67_il2.ifng_CD8_pos,0.674210742995818,0.000485931442227875,0.0115746770124402,-2.25000040290932,-2.20110974929682,-1.69991441191073,67_il2.ifng_CD8_pos,33
BTLA,ifng,il2.ifng,Donor A,CD8,pos,51343,67_il2.ifng_CD8_pos,226.481058854464,0.163234224179558,0.174322969749771,-0.113145918762863,0.17324240359354,-0.409643839314241,67_il2.ifng_CD8_pos,17
BTLA,il2,il2.ifng,Donor B,CD4,pos,2035,68_il2.ifng_CD4_pos,4.50778552348687,0.00198566285870503,0.00260595316417301,-1.2744909546639,-1.43125831053095,-1.69991441191073,68_il2.ifng_CD4_pos,22
BTLA,ifng,il2.ifng,Donor B,CD4,pos,14906,68_il2.ifng_CD4_pos,25.2835212573827,0.0111372976457029,0.0117575879511709,-1.09063231245386,-0.823452509637009,-0.409643839314241,68_il2.ifng_CD4_pos,27
BTLA,il2,il2.ifng,Donor B,CD8,pos,11065,68_il2.ifng_CD8_pos,7.13280118420424,0.00897674368238159,0.0169775781667732,-1.588025666398,-1.43125831053095,-1.69991441191073,68_il2.ifng_CD8_pos,29
BTLA,ifng,il2.ifng,Donor B,CD8,pos,21926,68_il2.ifng_CD8_pos,57.2347183957932,0.0720308029768315,0.0800316374612231,-0.556272706820156,-0.823452509637009,-0.409643839314241,68_il2.ifng_CD8_pos,25
CD2,il2,il2.ifng,Donor A,CD8,pos,9574,67_il2.ifng_CD8_pos,1.86704513444996,0.00322769048923038,0.0743351835253324,0.433072874204887,0.433072874204887,0.0901518837192171,67_il2.ifng_CD8_pos,6
CD2,ifng,il2.ifng,Donor A,CD8,pos,51343,67_il2.ifng_CD8_pos,172.013877177234,0.297372326536803,0.368479819572905,0.966677011668074,0.966677011668074,0.537862634866203,67_il2.ifng_CD8_pos,1
CD2,il2,il2.ifng,Donor B,CD8,pos,11065,68_il2.ifng_CD8_pos,3.52237095516259,0.00637355295943701,0.0313343406265936,-0.7039117064841,-0.7039117064841,0.0901518837192171,68_il2.ifng_CD8_pos,14
CD2,ifng,il2.ifng,Donor B,CD8,pos,21926,68_il2.ifng_CD8_pos,77.9219660087306,0.140995875613893,0.16595666328105,0.495891516584614,0.495891516584614,0.537862634866203,68_il2.ifng_CD8_pos,6
CD200R,il2,il2.ifng,Donor A,CD4,pos,1901,67_il2.ifng_CD4_pos,3.45673025926992,0.00111052680000778,0.00340466308638257,-1.81450285119528,-0.993864721572403,-0.561692509090121,67_il2.ifng_CD4_pos,20
CD200R,ifng,il2.ifng,Donor A,CD4,pos,4371,67_il2.ifng_CD4_pos,64.1605343817493,0.0206125406350919,0.0229066769214667,-0.492327777901001,-0.127110534114792,-0.0660401494110892,67_il2.ifng_CD4_pos,14
CD200R,il2,il2.ifng,Donor A,CD8,pos,9574,67_il2.ifng_CD8_pos,1.24469675629997,0.000305814089546654,0.0488292543395644,-0.173226591949524,-0.993864721572403,-0.561692509090121,67_il2.ifng_CD8_pos,10
CD200R,ifng,il2.ifng,Donor A,CD8,pos,51343,67_il2.ifng_CD8_pos,707.607830336661,0.173854750801919,0.222378191051937,0.238106709671417,-0.127110534114792,-0.0660401494110892,67_il2.ifng_CD8_pos,8
CD200R,il2,il2.ifng,Donor B,CD4,pos,2035,68_il2.ifng_CD4_pos,17.408007036289,0.00284003538500157,0.005206307292905,-0.276041643051734,-0.426476181128368,-0.561692509090121,68_il2.ifng_CD4_pos,10
CD200R,ifng,il2.ifng,Donor B,CD4,pos,14906,68_il2.ifng_CD4_pos,131.874481378435,0.0215147083013431,0.0238809802092465,-0.0683623824837633,-0.11723217592559,-0.0660401494110892,68_il2.ifng_CD4_pos,14
CD200R,il2,il2.ifng,Donor B,CD8,pos,11065,68_il2.ifng_CD8_pos,69.302648542824,0.0302347605699821,0.03421776716786,-0.576910719205003,-0.426476181128368,-0.561692509090121,68_il2.ifng_CD8_pos,12
CD200R,ifng,il2.ifng,Donor B,CD8,pos,21926,68_il2.ifng_CD8_pos,231.283428312639,0.100902335276786,0.104885341874664,-0.166101969367416,-0.11723217592559,-0.0660401494110892,68_il2.ifng_CD8_pos,13
CD244,il2,il2.ifng,Donor B,CD4,pos,2035,68_il2.ifng_CD4_pos,0.530327708645514,0.000812598680616534,0.00383333317801235,-0.717702712901573,-0.717702712901573,-0.702772425177023,68_il2.ifng_CD4_pos,12
CD244,ifng,il2.ifng,Donor B,CD4,pos,14906,68_il2.ifng_CD4_pos,19.2809586567091,0.0295433961115852,0.032564130608981,0.379059273797663,0.379059273797663,0.145410741113094,68_il2.ifng_CD4_pos,6
CD28,il2,il2.ifng,Donor A,CD4,pos,1901,67_il2.ifng_CD4_pos,841.857848559696,0.0219033433832617,0.0439270557923912,1.87502300861948,1.85730382313711,1.87098763040149,67_il2.ifng_CD4_pos,3
CD28,ifng,il2.ifng,Donor A,CD4,pos,4371,67_il2.ifng_CD4_pos,712.278031116227,0.0185319532585982,0.0405556656677276,0.331807514967743,0.397299465948965,0.78676297342041,67_il2.ifng_CD4_pos,8
CD28,il2,il2.ifng,Donor A,CD8,pos,9574,67_il2.ifng_CD8_pos,6016.29363394076,0.0869755472551463,0.197059169457482,1.83958463765474,1.85730382313711,1.87098763040149,67_il2.ifng_CD8_pos,2
CD28,ifng,il2.ifng,Donor A,CD8,pos,51343,67_il2.ifng_CD8_pos,10359.9372738895,0.149770152314743,0.259853774517079,0.462791416930187,0.397299465948965,0.78676297342041,67_il2.ifng_CD8_pos,4
CD28,il2,il2.ifng,Donor B,CD4,pos,2035,68_il2.ifng_CD4_pos,776.558863769627,0.00957107126131896,0.0250995340823289,1.99328656906861,2.20397943857017,1.87098763040149,68_il2.ifng_CD4_pos,2
CD28,ifng,il2.ifng,Donor B,CD4,pos,14906,68_il2.ifng_CD4_pos,3222.64853321619,0.0397190737246511,0.0552475365456611,1.14168570044581,1.20896935968817,0.78676297342041,68_il2.ifng_CD4_pos,4
CD28,il2,il2.ifng,Donor B,CD8,pos,11065,68_il2.ifng_CD8_pos,4651.2908462922,0.109698570710986,0.2721497204724,2.41467230807173,2.20397943857017,1.87098763040149,68_il2.ifng_CD8_pos,2
